Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,112737,-,-,-,41.77,-124.22,-8,16,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,4.4,0,0,0,0.11,1034,7.2,16,3.1
1999,1,1,1,30,4.1000000000000005,0,0,0,0.11,1035,7,18,3.1
1999,1,1,2,30,3.8000000000000003,0,0,0,0.11,1034,6.800000000000001,15,3.1
1999,1,1,3,30,3.5,0,0,0,0.11,1035,6.5,14,3.3000000000000003
1999,1,1,4,30,3.4000000000000004,0,0,0,0.11,1035,6.4,24,3.3000000000000003
1999,1,1,5,30,3.2,0,0,0,0.11,1034,6.4,33,3.1
1999,1,1,6,30,2.9000000000000004,0,0,0,0.11,1034,6.5,32,2.9000000000000004
1999,1,1,7,30,2.8000000000000003,0,0,0,0.11,1034,6.7,29,2.8000000000000003
1999,1,1,8,30,2.8000000000000003,28,538,88,0.11,1034,7.300000000000001,26,2.7
1999,1,1,9,30,3.2,94,193,141,0.11,1034,8.5,27,2.6
1999,1,1,10,30,3.8000000000000003,133,295,236,0.11,1034,9.9,28,2.5
1999,1,1,11,30,4.6000000000000005,54,906,425,0.11,1033,11.200000000000001,24,2.2
1999,1,1,12,30,5.6000000000000005,53,917,444,0.11,1033,12.200000000000001,17,2
1999,1,1,13,30,6.800000000000001,51,900,407,0.11,1032,12.8,13,1.8
1999,1,1,14,30,7.2,45,848,317,0.11,1033,12.9,14,1.8
1999,1,1,15,30,7.4,37,730,187,0.11,1033,12.700000000000001,15,1.9000000000000001
1999,1,1,16,30,7.1000000000000005,19,441,47,0.11,1033,10.8,28,2.2
1999,1,1,17,30,6.9,0,0,0,0.11,1033,10,34,2.5
1999,1,1,18,30,6.7,0,0,0,0.11,1034,9.4,34,2.6
1999,1,1,19,30,6.6000000000000005,0,0,0,0.11,1034,8.9,35,2.8000000000000003
1999,1,1,20,30,6.2,0,0,0,0.11,1034,8.5,37,2.8000000000000003
1999,1,1,21,30,5.6000000000000005,0,0,0,0.11,1034,8.200000000000001,42,2.9000000000000004
1999,1,1,22,30,5,0,0,0,0.11,1034,7.800000000000001,48,3.1
1999,1,1,23,30,4.3,0,0,0,0.11,1034,7.7,53,3.4000000000000004
1999,1,2,0,30,3.8000000000000003,0,0,0,0.11,1034,7.800000000000001,55,3.6
1999,1,2,1,30,3.4000000000000004,0,0,0,0.11,1034,8,56,3.7
1999,1,2,2,30,3.1,0,0,0,0.11,1034,8.3,56,3.9000000000000004
1999,1,2,3,30,2.9000000000000004,0,0,0,0.11,1033,8.6,55,4
1999,1,2,4,30,2.8000000000000003,0,0,0,0.11,1033,8.6,52,4
1999,1,2,5,30,3,0,0,0,0.11,1033,8.6,50,4
1999,1,2,6,30,3.1,0,0,0,0.11,1033,8.5,53,4.1000000000000005
1999,1,2,7,30,2.9000000000000004,0,0,0,0.11,1033,8.6,58,4.4
1999,1,2,8,30,2.8000000000000003,30,505,86,0.11,1033,9.200000000000001,61,4.5
1999,1,2,9,30,3,48,737,230,0.11,1033,10.100000000000001,61,4.3
1999,1,2,10,30,3.8000000000000003,56,836,349,0.11,1033,10.9,56,3.8000000000000003
1999,1,2,11,30,5,60,881,423,0.11,1032,11.5,48,3.3000000000000003
1999,1,2,12,30,6.300000000000001,61,891,442,0.11,1031,12,42,2.8000000000000003
1999,1,2,13,30,7.4,58,874,406,0.11,1031,12.200000000000001,37,2.4000000000000004
1999,1,2,14,30,8.200000000000001,52,822,317,0.11,1031,12.200000000000001,37,2.2
1999,1,2,15,30,8.5,42,702,188,0.11,1031,12.100000000000001,38,2.2
1999,1,2,16,30,8.4,21,407,47,0.11,1031,11.4,44,2.6
1999,1,2,17,30,8,0,0,0,0.11,1031,11,48,2.9000000000000004
1999,1,2,18,30,7.5,0,0,0,0.11,1031,10.700000000000001,53,3.2
1999,1,2,19,30,6.9,0,0,0,0.11,1031,10.200000000000001,57,3.6
1999,1,2,20,30,6.4,0,0,0,0.11,1031,9.700000000000001,60,3.8000000000000003
1999,1,2,21,30,5.9,0,0,0,0.11,1031,9.4,62,4.1000000000000005
1999,1,2,22,30,5.300000000000001,0,0,0,0.11,1031,9,66,4.1000000000000005
1999,1,2,23,30,4.7,0,0,0,0.11,1031,8.6,70,4.2
1999,1,3,0,30,4,0,0,0,0.11,1031,8.3,75,4.2
1999,1,3,1,30,3.5,0,0,0,0.11,1031,8,77,4.3
1999,1,3,2,30,3.2,0,0,0,0.11,1030,7.7,79,4.4
1999,1,3,3,30,3.1,0,0,0,0.11,1030,7.5,81,4.4
1999,1,3,4,30,2.9000000000000004,0,0,0,0.11,1030,7.5,82,4.5
1999,1,3,5,30,2.6,0,0,0,0.11,1030,7.5,83,4.4
1999,1,3,6,30,2.3000000000000003,0,0,0,0.11,1030,7.5,83,4.4
1999,1,3,7,30,2.1,0,0,0,0.11,1030,7.7,86,4.3
1999,1,3,8,30,2.1,28,561,89,0.11,1031,8.5,89,4
1999,1,3,9,30,2.7,42,772,233,0.11,1031,10,94,3.4000000000000004
1999,1,3,10,30,4.1000000000000005,50,866,353,0.11,1031,11.600000000000001,100,2.6
1999,1,3,11,30,6.300000000000001,54,900,425,0.11,1031,13.100000000000001,108,1.6
1999,1,3,12,30,8.1,146,449,339,0.11,1031,14.200000000000001,117,1.1
1999,1,3,13,30,9,52,888,407,0.11,1031,14.9,127,1
1999,1,3,14,30,8.3,48,835,319,0.11,1031,14.8,137,1.1
1999,1,3,15,30,9.1,40,715,191,0.11,1032,14.4,141,1.1
1999,1,3,16,30,7.4,21,416,49,0.11,1032,12.9,139,1.3
1999,1,3,17,30,6.800000000000001,0,0,0,0.11,1032,12.100000000000001,139,1.4000000000000001
1999,1,3,18,30,6.7,0,0,0,0.11,1032,11.5,140,1.4000000000000001
1999,1,3,19,30,6.5,0,0,0,0.11,1033,10.9,142,1.5
1999,1,3,20,30,6.2,0,0,0,0.11,1033,10.5,141,1.6
1999,1,3,21,30,5.800000000000001,0,0,0,0.11,1033,10.100000000000001,137,1.7000000000000002
1999,1,3,22,30,5.300000000000001,0,0,0,0.11,1033,9.9,133,1.8
1999,1,3,23,30,4.7,0,0,0,0.11,1033,9.8,129,1.8
1999,1,4,0,30,4.1000000000000005,0,0,0,0.11,1034,9.700000000000001,126,1.8
1999,1,4,1,30,3.5,0,0,0,0.11,1034,9.8,121,1.8
1999,1,4,2,30,3,0,0,0,0.11,1034,9.8,117,1.8
1999,1,4,3,30,2.6,0,0,0,0.11,1034,10,113,1.7000000000000002
1999,1,4,4,30,2.3000000000000003,0,0,0,0.11,1034,10.200000000000001,111,1.7000000000000002
1999,1,4,5,30,2.1,0,0,0,0.11,1034,10.5,110,1.7000000000000002
1999,1,4,6,30,2,0,0,0,0.11,1034,10.600000000000001,113,1.7000000000000002
1999,1,4,7,30,2,0,0,0,0.11,1035,11,117,1.7000000000000002
1999,1,4,8,30,2.7,38,173,57,0.11,1035,11.8,124,1.6
1999,1,4,9,30,4.4,94,37,103,0.11,1036,13,131,1.5
1999,1,4,10,30,5.5,95,550,288,0.11,1036,13.9,140,1.4000000000000001
1999,1,4,11,30,4.800000000000001,155,358,303,0.11,1036,14.600000000000001,149,1.3
1999,1,4,12,30,4.6000000000000005,168,333,311,0.11,1035,15,158,1.2000000000000002
1999,1,4,13,30,4.6000000000000005,129,471,318,0.11,1035,14.9,168,1
1999,1,4,14,30,5.1000000000000005,101,451,249,0.11,1035,14.200000000000001,177,0.9
1999,1,4,15,30,6.2,73,295,135,0.11,1035,13.8,179,0.9
1999,1,4,16,30,4.3,22,0,22,0.11,1036,13.100000000000001,171,0.9
1999,1,4,17,30,3.5,0,0,0,0.11,1036,12.8,160,0.9
1999,1,4,18,30,3.7,0,0,0,0.11,1036,12.3,151,1.1
1999,1,4,19,30,4,0,0,0,0.11,1036,11.9,147,1.2000000000000002
1999,1,4,20,30,4,0,0,0,0.11,1036,11.600000000000001,148,1.4000000000000001
1999,1,4,21,30,3.9000000000000004,0,0,0,0.11,1037,11.3,151,1.4000000000000001
1999,1,4,22,30,3.9000000000000004,0,0,0,0.11,1037,10.9,154,1.5
1999,1,4,23,30,3.9000000000000004,0,0,0,0.11,1037,10.600000000000001,155,1.5
1999,1,5,0,30,3.8000000000000003,0,0,0,0.11,1037,10.4,153,1.6
1999,1,5,1,30,3.8000000000000003,0,0,0,0.11,1037,10.200000000000001,151,1.5
1999,1,5,2,30,3.7,0,0,0,0.11,1037,10.100000000000001,150,1.4000000000000001
1999,1,5,3,30,3.7,0,0,0,0.11,1037,10.200000000000001,151,1.3
1999,1,5,4,30,3.5,0,0,0,0.11,1036,10.3,151,1.2000000000000002
1999,1,5,5,30,3.5,0,0,0,0.11,1037,10.4,151,1
1999,1,5,6,30,3.5,0,0,0,0.11,1037,10.4,152,0.9
1999,1,5,7,30,3.6,0,0,0,0.11,1037,10.4,156,0.9
1999,1,5,8,30,4.2,31,488,85,0.11,1037,10.8,164,0.8
1999,1,5,9,30,5.6000000000000005,50,722,230,0.11,1037,11.600000000000001,178,0.7000000000000001
1999,1,5,10,30,7,60,823,350,0.11,1037,12.3,202,0.8
1999,1,5,11,30,6.4,66,865,425,0.11,1037,12.4,222,0.9
1999,1,5,12,30,6.4,155,410,332,0.11,1036,12.3,234,0.9
1999,1,5,13,30,7.5,116,540,334,0.11,1036,12.100000000000001,239,0.8
1999,1,5,14,30,8,111,390,240,0.11,1036,11.700000000000001,187,0.6000000000000001
1999,1,5,15,30,7.4,77,246,130,0.11,1036,11.5,134,0.6000000000000001
1999,1,5,16,30,6.5,26,21,27,0.11,1036,11,110,0.8
1999,1,5,17,30,6.1000000000000005,0,0,0,0.11,1035,11,109,0.8
1999,1,5,18,30,5.9,0,0,0,0.11,1035,11,100,0.8
1999,1,5,19,30,5.6000000000000005,0,0,0,0.11,1035,10.9,63,0.8
1999,1,5,20,30,5.300000000000001,0,0,0,0.11,1035,10.8,189,1
1999,1,5,21,30,5,0,0,0,0.11,1035,10.600000000000001,344,1.3
1999,1,5,22,30,4.9,0,0,0,0.11,1035,10.200000000000001,173,1.6
1999,1,5,23,30,4.9,0,0,0,0.11,1035,9.9,7,1.6
1999,1,6,0,30,4.9,0,0,0,0.11,1035,9.8,19,1.6
1999,1,6,1,30,4.9,0,0,0,0.11,1035,9.8,32,1.5
1999,1,6,2,30,4.7,0,0,0,0.11,1034,9.9,45,1.4000000000000001
1999,1,6,3,30,4.5,0,0,0,0.11,1034,9.9,55,1.4000000000000001
1999,1,6,4,30,4.3,0,0,0,0.11,1034,10,66,1.3
1999,1,6,5,30,4.2,0,0,0,0.11,1034,9.9,75,1.2000000000000002
1999,1,6,6,30,4,0,0,0,0.11,1034,9.9,79,1.1
1999,1,6,7,30,3.9000000000000004,0,0,0,0.11,1034,10,78,1
1999,1,6,8,30,4.2,39,64,46,0.11,1034,10.4,63,0.9
1999,1,6,9,30,5.6000000000000005,78,395,176,0.11,1034,11.100000000000001,32,0.9
1999,1,6,10,30,6.5,108,475,276,0.11,1034,11.700000000000001,185,0.9
1999,1,6,11,30,6.4,171,261,280,0.11,1034,12,348,0.9
1999,1,6,12,30,6.7,144,472,349,0.11,1033,12.100000000000001,331,1
1999,1,6,13,30,7,151,359,297,0.11,1033,12,316,1.2000000000000002
1999,1,6,14,30,7.300000000000001,135,179,195,0.11,1032,11.600000000000001,312,1.5
1999,1,6,15,30,7.9,82,179,121,0.11,1032,11.3,313,1.6
1999,1,6,16,30,7.6000000000000005,27,67,32,0.11,1032,9.8,323,1.9000000000000001
1999,1,6,17,30,7.300000000000001,0,0,0,0.11,1032,9.5,329,2.1
1999,1,6,18,30,7.5,0,0,0,0.11,1033,9.5,334,2.1
1999,1,6,19,30,7.7,0,0,0,0.11,1033,9.600000000000001,337,2.2
1999,1,6,20,30,7.800000000000001,0,0,0,0.11,1034,9.600000000000001,342,2.2
1999,1,6,21,30,7.7,0,0,0,0.11,1034,9.5,353,2.2
1999,1,6,22,30,7.5,0,0,0,0.11,1034,9.200000000000001,182,2.1
1999,1,6,23,30,7.2,0,0,0,0.11,1033,9.1,7,2.2
1999,1,7,0,30,7.1000000000000005,0,0,0,0.11,1033,9,9,2.4000000000000004
1999,1,7,1,30,6.800000000000001,0,0,0,0.11,1033,8.9,11,2.7
1999,1,7,2,30,6.6000000000000005,0,0,0,0.11,1033,8.700000000000001,14,2.9000000000000004
1999,1,7,3,30,6.4,0,0,0,0.11,1033,8.5,14,3
1999,1,7,4,30,6.2,0,0,0,0.11,1033,8.4,12,3.1
1999,1,7,5,30,6.1000000000000005,0,0,0,0.11,1033,8.3,8,3.3000000000000003
1999,1,7,6,30,6,0,0,0,0.11,1033,8.3,7,3.5
1999,1,7,7,30,5.800000000000001,0,0,0,0.11,1034,8.5,9,3.5
1999,1,7,8,30,5.9,40,67,47,0.11,1034,9,10,3.4000000000000004
1999,1,7,9,30,6,46,736,230,0.11,1034,9.700000000000001,10,3.3000000000000003
1999,1,7,10,30,5.9,53,838,350,0.11,1034,10.600000000000001,9,3.4000000000000004
1999,1,7,11,30,5.800000000000001,55,884,425,0.11,1034,11.3,6,3.5
1999,1,7,12,30,5.800000000000001,55,900,449,0.11,1033,11.9,2,3.4000000000000004
1999,1,7,13,30,6,54,883,414,0.11,1033,12.100000000000001,177,3.4000000000000004
1999,1,7,14,30,6.2,49,836,329,0.11,1033,11.9,355,3.7
1999,1,7,15,30,6.5,41,721,201,0.11,1033,11.8,356,3.9000000000000004
1999,1,7,16,30,6.5,23,445,57,0.1,1034,10.3,11,4.1000000000000005
1999,1,7,17,30,6.2,0,0,0,0.1,1035,9.600000000000001,22,4
1999,1,7,18,30,6,0,0,0,0.1,1035,9.200000000000001,31,4
1999,1,7,19,30,5.7,0,0,0,0.1,1035,8.8,34,3.9000000000000004
1999,1,7,20,30,5.4,0,0,0,0.1,1035,8.4,33,3.8000000000000003
1999,1,7,21,30,5.1000000000000005,0,0,0,0.1,1035,7.9,34,3.8000000000000003
1999,1,7,22,30,4.9,0,0,0,0.1,1035,7.5,41,3.7
1999,1,7,23,30,4.5,0,0,0,0.1,1035,7.1000000000000005,47,3.5
1999,1,8,0,30,4.2,0,0,0,0.1,1035,6.800000000000001,48,3.4000000000000004
1999,1,8,1,30,3.8000000000000003,0,0,0,0.1,1035,6.5,47,3.4000000000000004
1999,1,8,2,30,3.5,0,0,0,0.1,1036,6.2,50,3.5
1999,1,8,3,30,3.1,0,0,0,0.1,1036,6,49,3.4000000000000004
1999,1,8,4,30,2.8000000000000003,0,0,0,0.1,1036,5.9,46,3.4000000000000004
1999,1,8,5,30,2.6,0,0,0,0.1,1036,5.9,52,3.5
1999,1,8,6,30,2.4000000000000004,0,0,0,0.1,1037,6,60,3.5
1999,1,8,7,30,2.2,0,0,0,0.1,1037,6.300000000000001,63,3.6
1999,1,8,8,30,2.1,40,57,46,0.1,1037,7.300000000000001,64,3.6
1999,1,8,9,30,2.4000000000000004,97,162,138,0.1,1037,8.8,64,3.4000000000000004
1999,1,8,10,30,3.3000000000000003,112,460,276,0.1,1037,10.600000000000001,62,2.9000000000000004
1999,1,8,11,30,4.9,58,895,434,0.1,1037,12.100000000000001,57,2.3000000000000003
1999,1,8,12,30,6.5,60,905,457,0.1,1036,13,51,1.8
1999,1,8,13,30,7.7,59,886,423,0.1,1036,13.4,48,1.6
1999,1,8,14,30,8.5,54,834,335,0.1,1036,13.200000000000001,49,1.6
1999,1,8,15,30,8.5,54,545,176,0.1,1036,13.100000000000001,51,1.6
1999,1,8,16,30,7.9,29,123,38,0.1,1036,12,62,2.3000000000000003
1999,1,8,17,30,7,0,0,0,0.1,1036,11.600000000000001,70,2.8000000000000003
1999,1,8,18,30,5.9,0,0,0,0.1,1035,11.100000000000001,75,3.4000000000000004
1999,1,8,19,30,4.9,0,0,0,0.1,1035,10.600000000000001,76,3.8000000000000003
1999,1,8,20,30,4.1000000000000005,0,0,0,0.1,1034,10.100000000000001,75,3.8000000000000003
1999,1,8,21,30,3.8000000000000003,0,0,0,0.1,1035,9.5,72,3.5
1999,1,8,22,30,3.8000000000000003,0,0,0,0.1,1035,9,73,3.3000000000000003
1999,1,8,23,30,3.8000000000000003,0,0,0,0.1,1035,8.700000000000001,78,3.3000000000000003
1999,1,9,0,30,3.7,0,0,0,0.1,1035,8.6,85,3.4000000000000004
1999,1,9,1,30,3.4000000000000004,0,0,0,0.1,1035,8.5,91,3.5
1999,1,9,2,30,3.2,0,0,0,0.1,1035,8.5,96,3.5
1999,1,9,3,30,3,0,0,0,0.1,1035,8.6,101,3.3000000000000003
