Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,209670,-,-,-,34.93,-117.94,-8,733,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,-5.4,0,0,0,0.28,928,3.9000000000000004,42,1.9000000000000001
1999,1,1,1,30,-5.6000000000000005,0,0,0,0.28,929,3.8000000000000003,40,1.9000000000000001
1999,1,1,2,30,-5.7,0,0,0,0.28,929,3.2,38,2
1999,1,1,3,30,-6.2,0,0,0,0.28,930,2.4000000000000004,43,2.1
1999,1,1,4,30,-6.800000000000001,0,0,0,0.28,931,1.7000000000000002,49,2.2
1999,1,1,5,30,-7.300000000000001,0,0,0,0.28,932,1.3,53,2.3000000000000003
1999,1,1,6,30,-7.800000000000001,0,0,0,0.28,932,1.8,55,2.4000000000000004
1999,1,1,7,30,-7.4,23,523,66,0.28,933,4.4,57,3
1999,1,1,8,30,-6.7,41,803,241,0.28,933,8,59,3.9000000000000004
1999,1,1,9,30,-7,50,916,403,0.28,933,11.100000000000001,60,4.6000000000000005
1999,1,1,10,30,-8.200000000000001,56,968,520,0.28,933,13.8,62,5
1999,1,1,11,30,-9.1,58,989,579,0.28,932,15.600000000000001,65,4.7
1999,1,1,12,30,-10.100000000000001,58,995,578,0.28,931,16.7,67,4.1000000000000005
1999,1,1,13,30,-10.9,56,968,510,0.28,931,17,70,3.6
1999,1,1,14,30,-11.5,49,912,384,0.28,931,15.9,70,2.5
1999,1,1,15,30,-7.2,39,784,215,0.28,931,14.9,70,1.7000000000000002
1999,1,1,16,30,-6.4,18,438,42,0.28,931,9.5,72,1.3
1999,1,1,17,30,-8.5,0,0,0,0.28,932,8.200000000000001,65,1.4000000000000001
1999,1,1,18,30,-9.3,0,0,0,0.28,932,7.6000000000000005,55,1.5
1999,1,1,19,30,-10.100000000000001,0,0,0,0.28,932,7.1000000000000005,45,1.5
1999,1,1,20,30,-10.9,0,0,0,0.28,932,6.6000000000000005,37,1.6
