Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,202788,-,-,-,33.93,-118.34,-8,25,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,4.7,0,0,0,0.14,1002,9.700000000000001,33,2.8000000000000003
1999,1,1,1,30,4,0,0,0,0.14,1003,9.4,33,2.7
1999,1,1,2,30,3.2,0,0,0,0.14,1003,9.3,35,2.8000000000000003
1999,1,1,3,30,2.6,0,0,0,0.14,1004,9.1,39,3.2
1999,1,1,4,30,1.8,0,0,0,0.14,1005,9,44,3.6
1999,1,1,5,30,1,0,0,0,0.14,1006,8.9,49,3.8000000000000003
1999,1,1,6,30,0.30000000000000004,0,0,0,0.14,1006,9.200000000000001,51,4
1999,1,1,7,30,0.2,25,475,66,0.14,1007,10.8,51,4.2
1999,1,1,8,30,0.30000000000000004,47,769,244,0.14,1007,13.3,53,4.3
1999,1,1,9,30,0.2,58,887,408,0.14,1007,16.2,55,3.9000000000000004
1999,1,1,10,30,0.8,66,930,523,0.14,1007,18.5,55,3.1
1999,1,1,11,30,-0.1,68,954,584,0.14,1006,20.1,51,2.1
1999,1,1,12,30,-0.2,68,953,581,0.14,1005,21,36,1.3
1999,1,1,13,30,0.4,66,923,513,0.14,1005,21.1,188,1
1999,1,1,14,30,1,60,860,389,0.14,1005,20.400000000000002,329,1.1
1999,1,1,15,30,4.1000000000000005,48,727,222,0.14,1005,19.700000000000003,308,1.2000000000000002
1999,1,1,16,30,5.2,22,388,49,0.14,1005,15.200000000000001,321,1.6
1999,1,1,17,30,4.7,0,0,0,0.14,1006,13.700000000000001,338,1.7000000000000002
1999,1,1,18,30,4.4,0,0,0,0.14,1006,13,175,1.8
1999,1,1,19,30,3.7,0,0,0,0.14,1006,12.600000000000001,11,1.9000000000000001
1999,1,1,20,30,2.8000000000000003,0,0,0,0.14,1006,12.3,25,2.1
1999,1,1,21,30,1.7000000000000002,0,0,0,0.14,1006,12,35,2.5
1999,1,1,22,30,0.5,0,0,0,0.14,1006,11.8,42,2.9000000000000004
1999,1,1,23,30,-0.5,0,0,0,0.14,1006,11.700000000000001,46,3.1
1999,1,2,0,30,-1.2000000000000002,0,0,0,0.14,1006,11.600000000000001,48,3.3000000000000003
1999,1,2,1,30,-1.5,0,0,0,0.14,1006,11.600000000000001,49,3.4000000000000004
1999,1,2,2,30,-1.6,0,0,0,0.14,1006,11.5,50,3.5
1999,1,2,3,30,-1.8,0,0,0,0.14,1005,11.600000000000001,50,3.7
1999,1,2,4,30,-1.9000000000000001,0,0,0,0.14,1005,11.600000000000001,50,4.1000000000000005
1999,1,2,5,30,-2,0,0,0,0.14,1005,11.5,49,4.5
1999,1,2,6,30,-2.1,0,0,0,0.14,1006,11.700000000000001,49,4.9
1999,1,2,7,30,-2.2,31,109,40,0.14,1006,12.9,49,5.4
1999,1,2,8,30,-2.2,48,781,248,0.14,1006,15.3,49,5.2
1999,1,2,9,30,-1.3,59,899,414,0.14,1006,18,54,4.5
1999,1,2,10,30,-0.5,64,954,534,0.14,1006,20.400000000000002,63,3.8000000000000003
1999,1,2,11,30,-1.2000000000000002,68,976,596,0.14,1005,22.1,71,2.8000000000000003
1999,1,2,12,30,-2.7,68,973,593,0.14,1004,22.8,79,1.8
1999,1,2,13,30,-2.3000000000000003,64,950,526,0.14,1003,22.700000000000003,96,0.9
1999,1,2,14,30,-1.4000000000000001,59,888,400,0.14,1003,21.5,183,0.7000000000000001
1999,1,2,15,30,3.4000000000000004,48,747,229,0.14,1003,20.6,258,0.9
1999,1,2,16,30,4.3,22,418,52,0.14,1003,16.3,322,1
1999,1,2,17,30,4.5,0,0,0,0.14,1004,14.600000000000001,180,1.1
1999,1,2,18,30,4.4,0,0,0,0.14,1004,13.8,22,1.2000000000000002
1999,1,2,19,30,3.6,0,0,0,0.14,1004,13.4,34,1.4000000000000001
1999,1,2,20,30,2.4000000000000004,0,0,0,0.14,1004,13.200000000000001,42,1.5
1999,1,2,21,30,1.4000000000000001,0,0,0,0.14,1005,13,46,1.6
1999,1,2,22,30,0.8,0,0,0,0.14,1005,12.8,50,1.9000000000000001
1999,1,2,23,30,0.4,0,0,0,0.14,1005,12.700000000000001,55,2.3000000000000003
1999,1,3,0,30,0.1,0,0,0,0.14,1005,12.700000000000001,56,2.9000000000000004
1999,1,3,1,30,-0.30000000000000004,0,0,0,0.14,1005,12.700000000000001,54,3.7
1999,1,3,2,30,-0.7000000000000001,0,0,0,0.14,1005,12.700000000000001,51,4.5
1999,1,3,3,30,-1,0,0,0,0.14,1006,12.600000000000001,49,5.2
1999,1,3,4,30,-1,0,0,0,0.14,1006,12.4,49,5.800000000000001
1999,1,3,5,30,-0.9,0,0,0,0.14,1007,11.9,49,6.2
1999,1,3,6,30,-0.8,0,0,0,0.14,1007,11.9,50,6.300000000000001
1999,1,3,7,30,-0.7000000000000001,30,86,38,0.14,1008,13,50,6.1000000000000005
1999,1,3,8,30,-0.4,49,767,245,0.14,1009,15.3,51,5.7
1999,1,3,9,30,0.30000000000000004,60,895,414,0.14,1009,17.900000000000002,55,5.4
1999,1,3,10,30,0.7000000000000001,67,948,535,0.14,1009,19.8,58,4.9
1999,1,3,11,30,0.1,71,979,603,0.14,1009,21,58,4
1999,1,3,12,30,-1.8,72,975,600,0.14,1008,22,58,3.2
1999,1,3,13,30,-3.9000000000000004,68,954,533,0.14,1008,22.200000000000003,57,2.4000000000000004
1999,1,3,14,30,-3.8000000000000003,63,888,406,0.14,1008,21.3,49,1.4000000000000001
1999,1,3,15,30,0.9,50,756,236,0.14,1008,20.5,42,0.9
1999,1,3,16,30,2.2,25,402,54,0.14,1009,16.1,179,0.9
1999,1,3,17,30,2.3000000000000003,0,0,0,0.14,1009,14.5,8,1.2000000000000002
1999,1,3,18,30,2.3000000000000003,0,0,0,0.14,1010,13.700000000000001,23,1.5
1999,1,3,19,30,2,0,0,0,0.14,1010,13.100000000000001,37,1.8
1999,1,3,20,30,1.4000000000000001,0,0,0,0.14,1010,12.600000000000001,46,2.1
1999,1,3,21,30,0.8,0,0,0,0.14,1011,12.3,50,2.5
1999,1,3,22,30,0.2,0,0,0,0.14,1011,12,53,2.8000000000000003
1999,1,3,23,30,-0.4,0,0,0,0.14,1011,11.700000000000001,54,3
1999,1,4,0,30,-0.8,0,0,0,0.14,1011,11.5,54,3.3000000000000003
1999,1,4,1,30,-1.1,0,0,0,0.14,1011,11.3,53,3.5
1999,1,4,2,30,-1.4000000000000001,0,0,0,0.14,1011,11.200000000000001,52,3.8000000000000003
1999,1,4,3,30,-1.8,0,0,0,0.14,1011,11,52,4.2
1999,1,4,4,30,-2.4000000000000004,0,0,0,0.14,1011,10.8,51,4.6000000000000005
1999,1,4,5,30,-2.7,0,0,0,0.14,1011,10.4,52,4.800000000000001
1999,1,4,6,30,-2.7,0,0,0,0.14,1012,10.4,51,5
1999,1,4,7,30,-2.5,27,471,68,0.14,1012,11.8,52,5.300000000000001
1999,1,4,8,30,-2.2,52,769,249,0.14,1013,14.4,53,5.1000000000000005
1999,1,4,9,30,-1.4000000000000001,64,890,417,0.14,1013,17.3,60,4.1000000000000005
1999,1,4,10,30,-0.4,71,949,540,0.14,1012,19.8,71,2.9000000000000004
1999,1,4,11,30,-1.1,75,970,603,0.14,1012,21.3,73,1.8
1999,1,4,12,30,-2.4000000000000004,75,968,601,0.14,1011,22.1,61,1
1999,1,4,13,30,-2.6,71,946,534,0.14,1010,22.3,26,0.6000000000000001
1999,1,4,14,30,-1.5,64,885,408,0.14,1010,21.400000000000002,139,0.6000000000000001
1999,1,4,15,30,3.2,51,755,238,0.14,1010,20.6,279,0.7000000000000001
1999,1,4,16,30,3.5,25,412,56,0.14,1010,16.8,314,1.1
1999,1,4,17,30,3.2,0,0,0,0.14,1011,15.3,334,1.2000000000000002
1999,1,4,18,30,3.2,0,0,0,0.14,1011,14.5,175,1.4000000000000001
1999,1,4,19,30,2.8000000000000003,0,0,0,0.14,1012,14,14,1.6
1999,1,4,20,30,2.1,0,0,0,0.14,1012,13.8,31,1.8
1999,1,4,21,30,1.5,0,0,0,0.14,1012,13.600000000000001,43,2
1999,1,4,22,30,1.1,0,0,0,0.14,1012,13.5,51,2.1
1999,1,4,23,30,0.9,0,0,0,0.14,1011,13.5,55,2.1
1999,1,5,0,30,0.9,0,0,0,0.14,1011,13.4,56,2.1
1999,1,5,1,30,1,0,0,0,0.14,1010,13.200000000000001,53,2
1999,1,5,2,30,1.1,0,0,0,0.14,1010,13,47,2
1999,1,5,3,30,0.8,0,0,0,0.14,1010,12.600000000000001,43,2
1999,1,5,4,30,0.30000000000000004,0,0,0,0.14,1010,12.100000000000001,42,2.1
1999,1,5,5,30,-0.1,0,0,0,0.14,1010,11.700000000000001,43,2.2
1999,1,5,6,30,-0.4,0,0,0,0.14,1010,12.100000000000001,44,2.3000000000000003
1999,1,5,7,30,-0.30000000000000004,30,125,41,0.14,1010,14.100000000000001,47,2.9000000000000004
1999,1,5,8,30,-0.4,54,754,247,0.14,1011,16.6,49,3.4000000000000004
1999,1,5,9,30,-0.4,67,881,416,0.14,1011,19,52,3
1999,1,5,10,30,-0.7000000000000001,132,620,439,0.14,1010,21.5,63,2.1
1999,1,5,11,30,-3.2,74,965,600,0.14,1009,23,94,1
1999,1,5,12,30,-2.1,79,943,593,0.14,1008,23.3,165,0.6000000000000001
1999,1,5,13,30,-1.2000000000000002,194,370,376,0.14,1008,23,224,0.9
1999,1,5,14,30,-0.8,109,558,328,0.14,1008,21.8,244,1.2000000000000002
1999,1,5,15,30,3,83,349,170,0.14,1008,20.900000000000002,253,1.3
1999,1,5,16,30,3.7,28,143,39,0.14,1008,17.3,313,1
1999,1,5,17,30,4.3,0,0,0,0.14,1008,15.700000000000001,172,1.1
1999,1,5,18,30,4.4,0,0,0,0.14,1008,15.100000000000001,13,1.2000000000000002
1999,1,5,19,30,3.8000000000000003,0,0,0,0.14,1008,15.100000000000001,27,1.4000000000000001
1999,1,5,20,30,2.9000000000000004,0,0,0,0.14,1008,15.200000000000001,37,1.5
1999,1,5,21,30,2,0,0,0,0.14,1009,15.4,45,1.6
1999,1,5,22,30,1.2000000000000002,0,0,0,0.14,1009,15.4,52,1.6
1999,1,5,23,30,0.5,0,0,0,0.14,1008,15.4,57,1.6
1999,1,6,0,30,0.1,0,0,0,0.14,1008,15.3,59,1.5
1999,1,6,1,30,-0.30000000000000004,0,0,0,0.14,1008,15.200000000000001,56,1.5
1999,1,6,2,30,-0.8,0,0,0,0.14,1008,15.100000000000001,51,1.4000000000000001
1999,1,6,3,30,-1.2000000000000002,0,0,0,0.14,1007,14.9,49,1.4000000000000001
1999,1,6,4,30,-1.8,0,0,0,0.14,1007,14.700000000000001,51,1.4000000000000001
1999,1,6,5,30,-2.5,0,0,0,0.14,1007,14.5,56,1.3
1999,1,6,6,30,-2.9000000000000004,0,0,0,0.14,1008,14.700000000000001,66,1.2000000000000002
1999,1,6,7,30,-2.2,30,129,41,0.14,1008,16.2,79,1.2000000000000002
1999,1,6,8,30,-0.1,56,733,244,0.14,1008,18.400000000000002,95,1.4000000000000001
1999,1,6,9,30,-0.6000000000000001,72,847,408,0.14,1009,20.3,139,1.4000000000000001
1999,1,6,10,30,0.7000000000000001,68,946,538,0.14,1008,21.6,190,1.6
1999,1,6,11,30,1.5,73,966,602,0.14,1007,22.1,209,2
1999,1,6,12,30,1.9000000000000001,75,962,601,0.14,1007,22.200000000000003,217,2.2
1999,1,6,13,30,2.4000000000000004,71,938,535,0.14,1006,21.8,223,2.2
1999,1,6,14,30,2.8000000000000003,66,873,410,0.14,1006,20.900000000000002,231,1.8
1999,1,6,15,30,4.3,54,736,240,0.14,1006,20.200000000000003,235,1.6
1999,1,6,16,30,6.5,26,416,60,0.14,1006,16.400000000000002,249,1
1999,1,6,17,30,6.4,0,0,0,0.14,1006,15.700000000000001,262,0.8
1999,1,6,18,30,6.2,0,0,0,0.14,1006,15.600000000000001,311,0.5
1999,1,6,19,30,6,0,0,0,0.14,1006,15.4,206,0.5
1999,1,6,20,30,5.7,0,0,0,0.14,1006,15,71,0.7000000000000001
1999,1,6,21,30,5.7,0,0,0,0.14,1006,14.700000000000001,88,0.8
1999,1,6,22,30,5.7,0,0,0,0.14,1006,14.600000000000001,98,0.9
1999,1,6,23,30,5.9,0,0,0,0.14,1006,14.4,107,1
1999,1,7,0,30,5.9,0,0,0,0.14,1006,14.200000000000001,116,0.9
1999,1,7,1,30,6.1000000000000005,0,0,0,0.14,1006,14,122,0.8
1999,1,7,2,30,6.4,0,0,0,0.14,1005,13.8,123,0.6000000000000001
1999,1,7,3,30,6.6000000000000005,0,0,0,0.14,1005,13.5,116,0.5
1999,1,7,4,30,6.800000000000001,0,0,0,0.14,1005,13.100000000000001,92,0.6000000000000001
1999,1,7,5,30,6.7,0,0,0,0.14,1005,12.600000000000001,78,1
1999,1,7,6,30,6.4,0,0,0,0.14,1005,12.5,84,1.2000000000000002
1999,1,7,7,30,6.5,30,70,36,0.14,1005,13.700000000000001,98,1.3
1999,1,7,8,30,7,69,0,69,0.14,1006,15.600000000000001,132,1.2000000000000002
1999,1,7,9,30,7.5,170,107,213,0.14,1006,17.1,186,1.1
1999,1,7,10,30,7.6000000000000005,83,869,515,0.14,1006,18.1,225,1.3
1999,1,7,11,30,7.300000000000001,88,891,577,0.14,1005,18.8,237,1.7000000000000002
1999,1,7,12,30,7,89,889,577,0.14,1004,19.200000000000003,237,2
1999,1,7,13,30,6.6000000000000005,86,858,512,0.14,1004,19.1,236,2.3000000000000003
1999,1,7,14,30,6.4,78,782,388,0.14,1004,18.400000000000002,235,2.3000000000000003
1999,1,7,15,30,6.6000000000000005,62,642,225,0.14,1004,17.900000000000002,235,2.2
1999,1,7,16,30,7.5,28,318,55,0.14,1004,13.9,236,1.5
1999,1,7,17,30,8,0,0,0,0.14,1004,12.600000000000001,246,1.2000000000000002
1999,1,7,18,30,8.700000000000001,0,0,0,0.14,1005,12.5,267,0.7000000000000001
1999,1,7,19,30,8.9,0,0,0,0.14,1005,12.200000000000001,175,0.5
1999,1,7,20,30,8.8,0,0,0,0.14,1005,11.700000000000001,75,0.9
1999,1,7,21,30,8.4,0,0,0,0.14,1004,11.3,86,1.1
1999,1,7,22,30,8,0,0,0,0.14,1004,11,91,1.1
