Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,178597,-,-,-,36.29,-119.78,-8,68,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2018,1,1,0,30,2.1,0,0,0,0.16,1006,8.8,307,1.2000000000000002
2018,1,1,1,30,2.3000000000000003,0,0,0,0.16,1006,8.200000000000001,304,1.2000000000000002
2018,1,1,2,30,2.5,0,0,0,0.16,1006,7.7,300,1.1
2018,1,1,3,30,2.9000000000000004,0,0,0,0.16,1006,7.4,302,1.1
2018,1,1,4,30,3.3000000000000003,0,0,0,0.16,1007,7.1000000000000005,302,1.1
2018,1,1,5,30,3.6,0,0,0,0.16,1007,6.7,299,1
2018,1,1,6,30,3.7,0,0,0,0.16,1008,6.7,298,1
2018,1,1,7,30,3.8000000000000003,15,41,17,0.16,1008,8.6,302,1.2000000000000002
2018,1,1,8,30,4.2,66,391,150,0.16,1008,11.9,312,1.5
2018,1,1,9,30,3,134,306,242,0.16,1008,14.600000000000001,319,1.4000000000000001
2018,1,1,10,30,2.3000000000000003,175,355,335,0.16,1008,16.8,312,1.3
2018,1,1,11,30,2,188,422,401,0.16,1007,18.400000000000002,301,1.5
2018,1,1,12,30,1.8,181,456,412,0.16,1006,19.3,300,1.7000000000000002
2018,1,1,13,30,1.5,148,508,381,0.16,1006,19.6,313,1.6
2018,1,1,14,30,1.3,103,533,297,0.16,1006,19.1,332,1.3
2018,1,1,15,30,2.3000000000000003,87,187,130,0.16,1006,18.6,342,1.2000000000000002
2018,1,1,16,30,2.7,23,15,24,0.16,1006,13.700000000000001,346,1
2018,1,1,17,30,2,0,0,0,0.16,1006,12.200000000000001,346,1.1
2018,1,1,18,30,2,0,0,0,0.16,1006,12,340,1
2018,1,1,19,30,2,0,0,0,0.16,1006,12.200000000000001,322,0.9
2018,1,1,20,30,2.2,0,0,0,0.16,1006,12.100000000000001,305,0.8
2018,1,1,21,30,2.6,0,0,0,0.16,1007,11.9,299,0.8
2018,1,1,22,30,2.8000000000000003,0,0,0,0.16,1007,11.700000000000001,295,0.9
2018,1,1,23,30,3.1,0,0,0,0.16,1007,11.600000000000001,289,0.9
2018,1,2,0,30,3.3000000000000003,0,0,0,0.16,1007,11.600000000000001,285,0.9
2018,1,2,1,30,3.3000000000000003,0,0,0,0.16,1007,11.600000000000001,287,0.8
2018,1,2,2,30,3.4000000000000004,0,0,0,0.16,1007,11.200000000000001,282,0.8
2018,1,2,3,30,3.5,0,0,0,0.16,1007,10.8,273,0.8
2018,1,2,4,30,3.7,0,0,0,0.16,1007,10.5,268,0.8
2018,1,2,5,30,3.7,0,0,0,0.16,1007,10.4,267,0.7000000000000001
2018,1,2,6,30,3.6,0,0,0,0.16,1007,10.700000000000001,270,0.7000000000000001
2018,1,2,7,30,3.6,13,0,13,0.16,1007,12.100000000000001,274,0.7000000000000001
2018,1,2,8,30,4.1000000000000005,53,0,53,0.16,1007,14.4,280,0.9
2018,1,2,9,30,4.2,41,0,41,0.16,1007,16.8,288,0.9
2018,1,2,10,30,3.2,128,1,128,0.16,1007,18.900000000000002,284,0.8
2018,1,2,11,30,2.2,192,26,205,0.16,1006,20.700000000000003,280,0.8
2018,1,2,12,30,1.7000000000000002,187,18,196,0.16,1005,21.6,304,0.9
2018,1,2,13,30,1.5,177,370,347,0.16,1004,21.6,163,0.8
2018,1,2,14,30,1.8,151,94,185,0.16,1004,20.5,174,0.6000000000000001
2018,1,2,15,30,4.4,88,58,101,0.16,1004,19.6,347,0.5
2018,1,2,16,30,3.3000000000000003,26,75,31,0.16,1004,16.900000000000002,183,0.8
2018,1,2,17,30,2.9000000000000004,0,0,0,0.16,1004,16,18,0.9
2018,1,2,18,30,2.6,0,0,0,0.16,1004,16,13,0.7000000000000001
2018,1,2,19,30,2.5,0,0,0,0.16,1004,16,138,0.6000000000000001
2018,1,2,20,30,2.4000000000000004,0,0,0,0.16,1004,15.3,269,0.9
