Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,146788,-,-,-,37.69,-121.78,-8,147,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2019,1,1,0,30,-4.2,0,0,0,0.13,1005,0.30000000000000004,26,1.7000000000000002
2019,1,1,1,30,-4.7,0,0,0,0.13,1005,0,19,1.8
2019,1,1,2,30,-4.9,0,0,0,0.13,1006,-0.4,12,1.9000000000000001
2019,1,1,3,30,-4.9,0,0,0,0.13,1006,-0.9,10,1.9000000000000001
2019,1,1,4,30,-5,0,0,0,0.13,1007,-1.3,9,1.7000000000000002
2019,1,1,5,30,-5.2,0,0,0,0.13,1007,-1.8,7,1.6
2019,1,1,6,30,-5.2,0,0,0,0.13,1009,-1.9000000000000001,7,1.4000000000000001
2019,1,1,7,30,-5.1000000000000005,7,5,7,0.13,1010,-0.2,8,1.7000000000000002
2019,1,1,8,30,-4,38,672,158,0.13,1010,2.7,9,1.9000000000000001
2019,1,1,9,30,-4.1000000000000005,49,858,323,0.13,1010,5.5,12,1.8
2019,1,1,10,30,-4.9,60,919,447,0.13,1010,8.3,183,1.5
2019,1,1,11,30,-6.300000000000001,63,943,515,0.13,1009,10.200000000000001,342,1.5
2019,1,1,12,30,-6.1000000000000005,65,945,526,0.13,1009,11,332,1.9000000000000001
2019,1,1,13,30,-5.6000000000000005,64,912,472,0.13,1009,11.3,337,2.2
2019,1,1,14,30,-5.2,59,851,366,0.13,1009,10.700000000000001,344,1.9000000000000001
2019,1,1,15,30,-2.5,49,695,211,0.13,1009,10.200000000000001,347,1.5
2019,1,1,16,30,-0.9,27,389,56,0.13,1009,6.6000000000000005,351,1
2019,1,1,17,30,-3.5,0,0,0,0.13,1010,5.800000000000001,347,1
2019,1,1,18,30,-3.9000000000000004,0,0,0,0.13,1010,5.6000000000000005,337,0.9
2019,1,1,19,30,-4.4,0,0,0,0.13,1010,5.5,321,0.9
2019,1,1,20,30,-4.4,0,0,0,0.13,1010,5.1000000000000005,304,0.8
2019,1,1,21,30,-4.3,0,0,0,0.13,1010,4.6000000000000005,293,0.8
2019,1,1,22,30,-4.2,0,0,0,0.13,1009,4.2,290,0.8
2019,1,1,23,30,-4.1000000000000005,0,0,0,0.13,1009,4,297,0.9
2019,1,2,0,30,-3.6,0,0,0,0.13,1009,3.7,312,0.9
2019,1,2,1,30,-3,0,0,0,0.13,1009,3.5,325,0.9
2019,1,2,2,30,-2.4000000000000004,0,0,0,0.13,1009,3.4000000000000004,333,0.9
2019,1,2,3,30,-1.7000000000000002,0,0,0,0.13,1009,3.4000000000000004,338,0.9
2019,1,2,4,30,-1.3,0,0,0,0.13,1009,3.2,342,0.7000000000000001
2019,1,2,5,30,-1.2000000000000002,0,0,0,0.13,1009,3,172,0.6000000000000001
2019,1,2,6,30,-1.3,0,0,0,0.13,1010,2.8000000000000003,17,0.6000000000000001
2019,1,2,7,30,-1.5,11,130,13,0.13,1010,3.5,64,0.5
2019,1,2,8,30,-0.30000000000000004,39,646,155,0.13,1011,5.300000000000001,112,0.5
2019,1,2,9,30,-0.7000000000000001,52,814,312,0.13,1011,7.9,91,0.5
2019,1,2,10,30,-1.9000000000000001,59,889,434,0.13,1010,10.3,38,0.6000000000000001
2019,1,2,11,30,-2.3000000000000003,63,921,505,0.13,1009,11.9,15,0.9
2019,1,2,12,30,-2,65,920,515,0.13,1009,12.700000000000001,10,1.2000000000000002
2019,1,2,13,30,-1.5,66,891,466,0.13,1008,12.9,14,1.4000000000000001
2019,1,2,14,30,-1,59,829,360,0.13,1008,12.4,19,1.2000000000000002
2019,1,2,15,30,0.8,49,699,213,0.13,1008,12,20,1
2019,1,2,16,30,1.3,27,380,56,0.13,1009,8.9,23,0.9
2019,1,2,17,30,-0.8,0,0,0,0.13,1009,7.7,41,1
2019,1,2,18,30,-1,0,0,0,0.13,1009,6.9,67,1.1
2019,1,2,19,30,-0.9,0,0,0,0.13,1009,6.300000000000001,90,1.2000000000000002
2019,1,2,20,30,-0.8,0,0,0,0.13,1009,5.800000000000001,104,1.2000000000000002
2019,1,2,21,30,-1.1,0,0,0,0.13,1009,5.2,113,1.2000000000000002
2019,1,2,22,30,-1.6,0,0,0,0.13,1009,4.7,117,1.2000000000000002
2019,1,2,23,30,-1.8,0,0,0,0.13,1009,4.4,116,1.2000000000000002
2019,1,3,0,30,-1.6,0,0,0,0.13,1009,3.8000000000000003,112,1.2000000000000002
2019,1,3,1,30,-1.9000000000000001,0,0,0,0.13,1009,3,110,1.3
2019,1,3,2,30,-2.1,0,0,0,0.13,1009,2.5,106,1.3
2019,1,3,3,30,-2.2,0,0,0,0.13,1008,2.3000000000000003,100,1.2000000000000002
2019,1,3,4,30,-2.1,0,0,0,0.13,1008,2.2,98,1.2000000000000002
2019,1,3,5,30,-2,0,0,0,0.13,1008,2.1,102,1.2000000000000002
2019,1,3,6,30,-2,0,0,0,0.13,1009,2,110,1.1
2019,1,3,7,30,-2,10,101,12,0.13,1009,3.1,116,1.1
2019,1,3,8,30,0.2,44,590,150,0.13,1009,5.4,116,1.3
