Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,166754,-,-,-,37.29,-120.5,-8,53,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2006,1,1,0,30,5.5,0,0,0,0.15,997,6.9,117,2.4000000000000004
2006,1,1,1,30,4.7,0,0,0,0.15,997,6.6000000000000005,116,2.7
2006,1,1,2,30,4.1000000000000005,0,0,0,0.15,996,6.4,118,2.9000000000000004
2006,1,1,3,30,3.6,0,0,0,0.15,996,6.4,122,3
2006,1,1,4,30,3.1,0,0,0,0.15,996,6.4,126,3.4000000000000004
2006,1,1,5,30,2.8000000000000003,0,0,0,0.15,995,6.4,127,3.8000000000000003
2006,1,1,6,30,2.6,0,0,0,0.15,995,6.4,126,4.2
2006,1,1,7,30,2.8000000000000003,6,0,6,0.15,994,7.4,127,4.6000000000000005
2006,1,1,8,30,3.6,11,0,11,0.15,994,8.9,130,5
2006,1,1,9,30,4.1000000000000005,9,0,9,0.15,993,10,132,5.300000000000001
2006,1,1,10,30,4.1000000000000005,22,0,22,0.15,991,10.5,134,5.6000000000000005
2006,1,1,11,30,4.5,33,0,33,0.15,990,10.200000000000001,136,6.300000000000001
2006,1,1,12,30,5.2,31,0,31,0.15,988,9.4,131,6.9
2006,1,1,13,30,5.800000000000001,19,0,19,0.15,988,8.6,126,6.5
2006,1,1,14,30,6,64,0,64,0.15,988,8.200000000000001,123,6.300000000000001
2006,1,1,15,30,6.300000000000001,14,0,14,0.15,988,8.200000000000001,122,6.5
2006,1,1,16,30,6.6000000000000005,4,0,4,0.13,988,8.200000000000001,117,6.2
2006,1,1,17,30,6.9,0,0,0,0.13,987,8.5,120,6.6000000000000005
2006,1,1,18,30,7.5,0,0,0,0.13,987,9,129,6.7
2006,1,1,19,30,7.9,0,0,0,0.13,987,9.3,137,5.6000000000000005
2006,1,1,20,30,8.1,0,0,0,0.13,988,9.1,140,4.1000000000000005
2006,1,1,21,30,8,0,0,0,0.13,988,8.8,138,3
2006,1,1,22,30,7.9,0,0,0,0.13,988,8.5,134,2.4000000000000004
2006,1,1,23,30,7.7,0,0,0,0.13,988,8.200000000000001,132,2.1
2006,1,2,0,30,7.4,0,0,0,0.13,988,8.1,127,2
2006,1,2,1,30,7.2,0,0,0,0.13,988,8,121,2.1
2006,1,2,2,30,7.1000000000000005,0,0,0,0.13,987,8.1,118,2.3000000000000003
2006,1,2,3,30,7.1000000000000005,0,0,0,0.13,986,8.3,119,2.8000000000000003
2006,1,2,4,30,7.2,0,0,0,0.13,986,8.3,120,3.3000000000000003
2006,1,2,5,30,7,0,0,0,0.13,986,8.200000000000001,120,3.7
2006,1,2,6,30,6.800000000000001,0,0,0,0.13,985,8.1,121,4.1000000000000005
2006,1,2,7,30,6.5,5,0,5,0.13,985,8.200000000000001,124,4.5
2006,1,2,8,30,6.9,3,0,3,0.13,985,8.9,124,5.2
2006,1,2,9,30,7.800000000000001,105,0,105,0.13,984,9.8,123,6
2006,1,2,10,30,8.700000000000001,57,0,57,0.13,983,10.600000000000001,123,6.6000000000000005
2006,1,2,11,30,9.3,10,0,10,0.13,982,11.3,132,7
2006,1,2,12,30,9.8,223,181,312,0.13,982,12,145,6.9
2006,1,2,13,30,10,186,47,207,0.13,982,12.100000000000001,159,5.9
2006,1,2,14,30,9.8,105,0,105,0.13,983,11.5,182,4.7
2006,1,2,15,30,9.200000000000001,76,330,151,0.13,983,11.100000000000001,196,4.2
2006,1,2,16,30,8.6,13,0,13,0.13,987,9.8,255,4.3
2006,1,2,17,30,7.9,0,0,0,0.13,989,9.1,275,4.4
2006,1,2,18,30,7.6000000000000005,0,0,0,0.13,992,8.8,279,3.7
2006,1,2,19,30,7.6000000000000005,0,0,0,0.13,994,8.3,274,2.5
2006,1,2,20,30,7.4,0,0,0,0.13,996,7.7,265,1.6
2006,1,2,21,30,7.2,0,0,0,0.13,998,7.300000000000001,255,1.2000000000000002
2006,1,2,22,30,6.9,0,0,0,0.13,1000,6.9,239,1
2006,1,2,23,30,6.7,0,0,0,0.13,1001,6.7,217,0.9
2006,1,3,0,30,6.5,0,0,0,0.13,1002,6.5,190,0.8
2006,1,3,1,30,6.2,0,0,0,0.13,1002,6.300000000000001,164,0.9
2006,1,3,2,30,6,0,0,0,0.13,1003,6.2,147,1
2006,1,3,3,30,6,0,0,0,0.13,1003,6.2,141,1.3
2006,1,3,4,30,5.9,0,0,0,0.13,1003,6.1000000000000005,141,1.6
2006,1,3,5,30,5.7,0,0,0,0.13,1004,6,143,1.6
2006,1,3,6,30,5.300000000000001,0,0,0,0.13,1005,6,147,1.4000000000000001
2006,1,3,7,30,5.2,12,0,12,0.13,1006,6.800000000000001,148,1.4000000000000001
2006,1,3,8,30,5.9,69,3,70,0.13,1008,7.9,143,1.8
2006,1,3,9,30,6.300000000000001,128,27,137,0.13,1008,8.5,137,2.4000000000000004
2006,1,3,10,30,6.300000000000001,184,66,212,0.13,1008,9.1,134,3.2
2006,1,3,11,30,6.2,220,144,291,0.13,1007,10.200000000000001,137,3.8000000000000003
2006,1,3,12,30,5.9,220,97,268,0.13,1006,11.100000000000001,141,4.1000000000000005
2006,1,3,13,30,5.4,178,30,191,0.13,1006,11.3,143,3.7
2006,1,3,14,30,5.6000000000000005,51,0,51,0.13,1007,11.100000000000001,144,2.9000000000000004
2006,1,3,15,30,6.300000000000001,87,42,97,0.13,1007,10.9,143,2.4000000000000004
2006,1,3,16,30,6,14,0,14,0.13,1008,8.700000000000001,131,1.9000000000000001
2006,1,3,17,30,5.2,0,0,0,0.13,1008,8.4,130,1.9000000000000001
2006,1,3,18,30,5.1000000000000005,0,0,0,0.13,1009,8.700000000000001,131,1.9000000000000001
2006,1,3,19,30,5.2,0,0,0,0.13,1009,8.9,133,1.9000000000000001
2006,1,3,20,30,5.2,0,0,0,0.13,1010,8.9,135,1.8
2006,1,3,21,30,5.1000000000000005,0,0,0,0.13,1010,8.8,136,1.8
2006,1,3,22,30,5,0,0,0,0.13,1010,8.700000000000001,134,1.6
2006,1,3,23,30,5,0,0,0,0.13,1009,8.5,129,1.6
2006,1,4,0,30,4.800000000000001,0,0,0,0.13,1009,8.1,125,1.5
2006,1,4,1,30,4.6000000000000005,0,0,0,0.13,1009,7.800000000000001,124,1.3
2006,1,4,2,30,4.2,0,0,0,0.13,1009,7.800000000000001,124,1.1
2006,1,4,3,30,3.7,0,0,0,0.13,1009,8.1,121,1
2006,1,4,4,30,3.3000000000000003,0,0,0,0.13,1009,8.4,115,0.9
2006,1,4,5,30,2.9000000000000004,0,0,0,0.13,1009,8.700000000000001,112,0.9
2006,1,4,6,30,2.5,0,0,0,0.13,1009,9.1,110,0.7000000000000001
2006,1,4,7,30,2.7,11,0,11,0.13,1010,9.9,99,0.6000000000000001
2006,1,4,8,30,4.7,46,0,46,0.13,1011,11,68,0.4
2006,1,4,9,30,6.5,130,34,142,0.13,1011,12.5,29,0.4
2006,1,4,10,30,6.2,183,249,292,0.13,1011,14.4,15,0.6000000000000001
2006,1,4,11,30,6.2,133,610,433,0.13,1010,16,21,0.7000000000000001
2006,1,4,12,30,6.9,76,863,505,0.13,1009,16.8,24,0.6000000000000001
2006,1,4,13,30,7.4,74,832,452,0.13,1009,16.900000000000002,28,0.6000000000000001
2006,1,4,14,30,7.9,142,279,244,0.13,1009,16.400000000000002,45,0.5
2006,1,4,15,30,8.9,52,640,201,0.13,1009,15.9,57,0.5
2006,1,4,16,30,7.7,24,323,47,0.13,1010,13,105,0.6000000000000001
2006,1,4,17,30,6.6000000000000005,0,0,0,0.13,1010,11.4,118,0.8
2006,1,4,18,30,6.5,0,0,0,0.13,1010,10.3,125,1.1
2006,1,4,19,30,6.2,0,0,0,0.13,1010,9.5,131,1.2000000000000002
2006,1,4,20,30,5.9,0,0,0,0.13,1010,9.1,140,1.2000000000000002
2006,1,4,21,30,5.5,0,0,0,0.13,1010,9.1,150,1.2000000000000002
2006,1,4,22,30,5.2,0,0,0,0.13,1010,9.200000000000001,152,1.1
2006,1,4,23,30,4.9,0,0,0,0.13,1010,9.200000000000001,139,1.1
2006,1,5,0,30,4.7,0,0,0,0.13,1010,8.700000000000001,120,1.2000000000000002
2006,1,5,1,30,4.6000000000000005,0,0,0,0.13,1010,8,112,1.4000000000000001
2006,1,5,2,30,4.6000000000000005,0,0,0,0.13,1010,7.9,115,1.5
2006,1,5,3,30,4.4,0,0,0,0.13,1009,8.1,122,1.6
2006,1,5,4,30,4.2,0,0,0,0.13,1009,8.4,131,1.6
2006,1,5,5,30,4,0,0,0,0.13,1009,8.5,137,1.5
2006,1,5,6,30,4,0,0,0,0.13,1009,8.8,141,1.5
2006,1,5,7,30,4.4,13,0,13,0.13,1009,10.200000000000001,141,1.4000000000000001
2006,1,5,8,30,6.6000000000000005,70,5,71,0.13,1010,12.5,141,1.5
2006,1,5,9,30,8.1,136,209,206,0.13,1010,14.4,140,1.7000000000000002
2006,1,5,10,30,8.6,136,519,363,0.13,1010,15.8,132,1.8
2006,1,5,11,30,8.8,174,463,402,0.13,1009,16.900000000000002,123,1.8
2006,1,5,12,30,9,161,529,425,0.13,1009,17.8,115,1.8
2006,1,5,13,30,9,148,503,377,0.13,1008,18.1,111,1.5
2006,1,5,14,30,9.700000000000001,151,207,227,0.13,1008,17.5,107,1
2006,1,5,15,30,11.100000000000001,72,407,168,0.13,1007,16.900000000000002,105,0.7000000000000001
2006,1,5,16,30,7.6000000000000005,27,102,34,0.13,1007,15.100000000000001,94,0.5
2006,1,5,17,30,6.1000000000000005,0,0,0,0.13,1007,14,63,0.4
2006,1,5,18,30,5.800000000000001,0,0,0,0.13,1007,13.200000000000001,46,0.4
2006,1,5,19,30,5.4,0,0,0,0.13,1007,12.8,68,0.4
2006,1,5,20,30,5,0,0,0,0.13,1006,12.5,101,0.4
2006,1,5,21,30,4.7,0,0,0,0.13,1006,12.100000000000001,121,0.5
2006,1,5,22,30,4.5,0,0,0,0.13,1006,11.8,118,0.5
2006,1,5,23,30,4.3,0,0,0,0.13,1005,11.8,110,0.5
2006,1,6,0,30,4.2,0,0,0,0.13,1005,12,106,0.5
2006,1,6,1,30,4.4,0,0,0,0.13,1005,12.3,112,0.5
