Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,159064,-,-,-,37.65,-120.98,-8,31,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2002,1,1,0,30,8,0,0,0,0.12,1008,9.200000000000001,148,1.1
2002,1,1,1,30,7.5,0,0,0,0.12,1008,8.8,158,1.2000000000000002
2002,1,1,2,30,7.300000000000001,0,0,0,0.12,1008,8.9,160,1.2000000000000002
2002,1,1,3,30,7.5,0,0,0,0.12,1007,9.1,159,1.2000000000000002
2002,1,1,4,30,7.6000000000000005,0,0,0,0.12,1007,9.200000000000001,154,1.3
2002,1,1,5,30,7.6000000000000005,0,0,0,0.12,1007,9.4,149,1.5
2002,1,1,6,30,7.6000000000000005,0,0,0,0.12,1007,9.5,148,1.6
2002,1,1,7,30,7.7,4,0,4,0.12,1007,10.100000000000001,150,1.8
2002,1,1,8,30,8.5,22,0,22,0.12,1008,11.4,150,2.2
2002,1,1,9,30,9.4,59,0,59,0.12,1008,13.3,148,2.6
2002,1,1,10,30,10.3,107,0,107,0.12,1007,15.100000000000001,146,2.8000000000000003
2002,1,1,11,30,10.8,208,73,243,0.12,1006,16.3,149,2.9000000000000004
2002,1,1,12,30,11.100000000000001,209,64,240,0.12,1006,17.1,154,2.9000000000000004
2002,1,1,13,30,11.5,183,289,311,0.12,1006,17.5,155,2.8000000000000003
2002,1,1,14,30,11.700000000000001,140,264,234,0.12,1005,17,150,2.3000000000000003
2002,1,1,15,30,12.3,52,614,191,0.12,1005,16.6,145,1.9000000000000001
2002,1,1,16,30,11.600000000000001,24,1,24,0.12,1006,13.9,141,1.7000000000000002
2002,1,1,17,30,10.700000000000001,0,0,0,0.12,1006,13.4,143,2
2002,1,1,18,30,10.3,0,0,0,0.12,1006,13.200000000000001,145,2.2
2002,1,1,19,30,10,0,0,0,0.12,1006,13,148,2.3000000000000003
2002,1,1,20,30,9.600000000000001,0,0,0,0.12,1006,12.8,152,2.5
2002,1,1,21,30,9.4,0,0,0,0.12,1006,12.5,159,2.4000000000000004
2002,1,1,22,30,9.5,0,0,0,0.12,1005,12.3,163,2.3000000000000003
2002,1,1,23,30,9.600000000000001,0,0,0,0.12,1005,12.3,163,2.3000000000000003
2002,1,2,0,30,9.8,0,0,0,0.12,1005,12.5,160,2.6
2002,1,2,1,30,9.9,0,0,0,0.12,1006,12.5,159,2.8000000000000003
2002,1,2,2,30,9.9,0,0,0,0.12,1006,12.4,163,2.8000000000000003
2002,1,2,3,30,10.100000000000001,0,0,0,0.12,1006,12.200000000000001,161,2.6
2002,1,2,4,30,10.3,0,0,0,0.12,1006,12,149,2.6
2002,1,2,5,30,10.3,0,0,0,0.12,1006,11.700000000000001,137,3
2002,1,2,6,30,10.100000000000001,0,0,0,0.12,1006,11.5,131,3.3000000000000003
2002,1,2,7,30,9.8,3,0,3,0.12,1006,11.600000000000001,134,3.4000000000000004
2002,1,2,8,30,9.700000000000001,12,0,12,0.12,1007,11.9,140,3.4000000000000004
2002,1,2,9,30,10,119,12,123,0.12,1007,12.200000000000001,143,3.4000000000000004
2002,1,2,10,30,10.4,185,111,233,0.12,1007,12.5,144,3.3000000000000003
2002,1,2,11,30,10.700000000000001,29,0,29,0.12,1006,12.600000000000001,141,3.1
2002,1,2,12,30,10.9,215,87,258,0.12,1005,12.700000000000001,140,3.1
2002,1,2,13,30,11,7,0,7,0.12,1005,12.600000000000001,151,3.2
2002,1,2,14,30,11,131,12,135,0.12,1005,12.4,159,3.3000000000000003
2002,1,2,15,30,10.9,7,0,7,0.12,1005,12.3,158,3.2
2002,1,2,16,30,10.200000000000001,13,0,13,0.12,1006,11.200000000000001,152,2.2
2002,1,2,17,30,9.700000000000001,0,0,0,0.12,1007,10.700000000000001,172,1.7000000000000002
2002,1,2,18,30,9.5,0,0,0,0.12,1007,10.4,185,1.3
2002,1,2,19,30,9.4,0,0,0,0.12,1008,10.100000000000001,190,1.2000000000000002
2002,1,2,20,30,9.200000000000001,0,0,0,0.12,1008,9.8,204,1.1
2002,1,2,21,30,9.1,0,0,0,0.12,1009,9.5,225,1
2002,1,2,22,30,8.8,0,0,0,0.12,1009,9.1,248,0.9
2002,1,2,23,30,8.5,0,0,0,0.12,1009,8.700000000000001,265,0.8
2002,1,3,0,30,8.1,0,0,0,0.12,1010,8.4,275,0.7000000000000001
2002,1,3,1,30,7.800000000000001,0,0,0,0.12,1010,8.200000000000001,279,0.7000000000000001
2002,1,3,2,30,7.6000000000000005,0,0,0,0.12,1011,8,280,0.7000000000000001
2002,1,3,3,30,7.300000000000001,0,0,0,0.12,1011,7.7,281,0.8
2002,1,3,4,30,7.1000000000000005,0,0,0,0.12,1011,7.4,283,1
2002,1,3,5,30,6.7,0,0,0,0.12,1012,7.300000000000001,289,1
2002,1,3,6,30,6.5,0,0,0,0.12,1012,7.300000000000001,290,0.9
2002,1,3,7,30,6.6000000000000005,5,0,5,0.12,1012,8.1,281,1.2000000000000002
2002,1,3,8,30,7.6000000000000005,51,567,157,0.12,1012,9.3,274,1.9000000000000001
2002,1,3,9,30,8.200000000000001,68,747,312,0.12,1013,10.700000000000001,283,2.4000000000000004
2002,1,3,10,30,8.6,82,812,429,0.12,1014,12.200000000000001,298,2.8000000000000003
2002,1,3,11,30,8.6,83,860,499,0.12,1013,13.3,311,3
2002,1,3,12,30,8.4,80,870,507,0.12,1013,14.100000000000001,317,2.9000000000000004
2002,1,3,13,30,8.3,77,843,456,0.12,1013,14.4,317,2.9000000000000004
2002,1,3,14,30,8.3,69,783,350,0.12,1013,13.9,316,2.8000000000000003
2002,1,3,15,30,8.700000000000001,54,649,203,0.12,1014,13.5,317,2.6
2002,1,3,16,30,8.6,25,322,48,0.12,1014,9.5,322,1.3
2002,1,3,17,30,7.800000000000001,0,0,0,0.12,1014,8,324,1.2000000000000002
2002,1,3,18,30,7.4,0,0,0,0.12,1015,7.4,326,1.1
2002,1,3,19,30,6.9,0,0,0,0.12,1015,6.9,330,1.1
2002,1,3,20,30,6.5,0,0,0,0.12,1015,6.5,334,1.1
2002,1,3,21,30,6.2,0,0,0,0.12,1014,6.2,334,1.1
2002,1,3,22,30,5.6000000000000005,0,0,0,0.12,1014,5.9,334,1.2000000000000002
2002,1,3,23,30,4.9,0,0,0,0.12,1014,5.9,337,1.3
