Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,145012,-,-,-,36.61,-121.9,-8,1,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2005,1,1,0,30,8.3,0,0,0,0.06,1042,12.4,277,3.4000000000000004
2005,1,1,1,30,7.4,0,0,0,0.06,1042,12,280,3.1
2005,1,1,2,30,6.7,0,0,0,0.06,1042,11.700000000000001,279,2.8000000000000003
2005,1,1,3,30,6.300000000000001,0,0,0,0.06,1042,11.5,275,2.5
2005,1,1,4,30,5.800000000000001,0,0,0,0.06,1042,11.3,270,2.4000000000000004
2005,1,1,5,30,5.4,0,0,0,0.06,1042,11.3,264,2.2
2005,1,1,6,30,5.1000000000000005,0,0,0,0.06,1043,11.4,257,2.2
2005,1,1,7,30,5.1000000000000005,13,90,15,0.06,1044,12,251,2.1
2005,1,1,8,30,6.800000000000001,50,558,156,0.06,1044,13,248,2.2
2005,1,1,9,30,6.9,66,743,313,0.06,1044,13.700000000000001,244,2.3000000000000003
2005,1,1,10,30,6.300000000000001,68,851,439,0.06,1044,14,240,2.4000000000000004
2005,1,1,11,30,6.300000000000001,73,882,510,0.06,1044,14.3,238,2.5
2005,1,1,12,30,6.4,75,884,521,0.06,1043,14.4,238,2.7
2005,1,1,13,30,6.6000000000000005,115,635,410,0.06,1043,14.3,240,2.8000000000000003
2005,1,1,14,30,6.9,138,347,269,0.06,1043,13.9,240,2.7
2005,1,1,15,30,7.2,52,682,221,0.06,1043,13.700000000000001,240,2.7
2005,1,1,16,30,7.7,28,387,61,0.06,1043,12,240,2.4000000000000004
2005,1,1,17,30,7.4,0,0,0,0.06,1043,11.4,237,2.4000000000000004
2005,1,1,18,30,7.300000000000001,0,0,0,0.06,1043,11.200000000000001,232,2.3000000000000003
2005,1,1,19,30,7.2,0,0,0,0.06,1044,11.200000000000001,224,2.3000000000000003
2005,1,1,20,30,7.1000000000000005,0,0,0,0.06,1044,11.200000000000001,214,2.3000000000000003
2005,1,1,21,30,7.2,0,0,0,0.06,1044,11.200000000000001,206,2.4000000000000004
2005,1,1,22,30,7.300000000000001,0,0,0,0.06,1044,11.3,200,2.5
2005,1,1,23,30,7.300000000000001,0,0,0,0.06,1044,11.3,196,2.6
