Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,139063,-,-,-,38.29,-122.3,-8,37,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2011,1,1,0,30,3,0,0,0,0.12,1012,4.2,101,2.5
2011,1,1,1,30,3.1,0,0,0,0.12,1012,4.1000000000000005,85,2.5
2011,1,1,2,30,3.1,0,0,0,0.12,1012,4.2,74,2.5
2011,1,1,3,30,3.4000000000000004,0,0,0,0.12,1012,4.3,76,2.3000000000000003
2011,1,1,4,30,3.6,0,0,0,0.12,1012,4.6000000000000005,88,2
2011,1,1,5,30,4,0,0,0,0.12,1013,4.9,97,1.9000000000000001
2011,1,1,6,30,4.3,0,0,0,0.12,1013,5.2,96,1.8
2011,1,1,7,30,4.5,0,0,0,0.12,1014,5.4,89,1.8
2011,1,1,8,30,4.6000000000000005,51,474,130,0.12,1014,5.7,84,1.8
2011,1,1,9,30,4.9,71,688,282,0.12,1015,6.2,81,1.9000000000000001
2011,1,1,10,30,5.1000000000000005,32,0,32,0.12,1015,6.7,80,1.9000000000000001
2011,1,1,11,30,5.1000000000000005,95,0,95,0.12,1015,7,81,1.9000000000000001
2011,1,1,12,30,5.1000000000000005,161,4,163,0.12,1014,7.1000000000000005,80,1.9000000000000001
2011,1,1,13,30,5.1000000000000005,42,0,42,0.12,1014,7,81,1.9000000000000001
2011,1,1,14,30,5.2,140,36,153,0.12,1014,6.9,81,2.1
2011,1,1,15,30,5.300000000000001,13,0,13,0.12,1014,6.800000000000001,82,2.2
2011,1,1,16,30,5.2,12,0,12,0.12,1014,6.300000000000001,88,2.5
2011,1,1,17,30,5.1000000000000005,0,0,0,0.12,1014,6,87,2.8000000000000003
2011,1,1,18,30,5,0,0,0,0.12,1014,5.9,88,3.1
2011,1,1,19,30,4.9,0,0,0,0.12,1014,5.800000000000001,93,3.3000000000000003
2011,1,1,20,30,4.800000000000001,0,0,0,0.12,1013,5.7,96,3.5
2011,1,1,21,30,4.7,0,0,0,0.12,1013,5.6000000000000005,95,3.6
2011,1,1,22,30,4.5,0,0,0,0.12,1012,5.5,94,3.6
2011,1,1,23,30,4.4,0,0,0,0.12,1012,5.4,94,3.6
2011,1,2,0,30,4.3,0,0,0,0.12,1012,5.4,91,3.6
2011,1,2,1,30,4.2,0,0,0,0.12,1011,5.300000000000001,89,3.7
2011,1,2,2,30,4.2,0,0,0,0.12,1011,5.300000000000001,88,3.8000000000000003
2011,1,2,3,30,4.1000000000000005,0,0,0,0.12,1010,5.2,83,3.7
2011,1,2,4,30,4,0,0,0,0.12,1010,5.1000000000000005,76,3.6
2011,1,2,5,30,3.8000000000000003,0,0,0,0.12,1010,5,70,3.5
2011,1,2,6,30,3.7,0,0,0,0.12,1010,5,68,3.4000000000000004
2011,1,2,7,30,3.6,0,0,0,0.12,1011,5.1000000000000005,68,3.2
2011,1,2,8,30,3.7,46,0,46,0.12,1011,5.5,67,3.1
2011,1,2,9,30,4.1000000000000005,55,0,55,0.12,1012,6.1000000000000005,66,3.1
2011,1,2,10,30,4.4,50,0,50,0.12,1012,6.6000000000000005,65,3
2011,1,2,11,30,4.7,79,0,79,0.12,1011,7.1000000000000005,63,3
2011,1,2,12,30,4.9,63,0,63,0.12,1011,7.5,63,3
2011,1,2,13,30,5.1000000000000005,161,13,167,0.12,1010,7.7,64,3
2011,1,2,14,30,5.300000000000001,124,1,125,0.12,1010,7.7,61,2.7
2011,1,2,15,30,5.4,86,23,92,0.12,1011,7.6000000000000005,59,2.6
2011,1,2,16,30,5.2,14,0,14,0.12,1011,6.6000000000000005,48,1.8
2011,1,2,17,30,4.9,0,0,0,0.12,1012,6,40,1.6
2011,1,2,18,30,4.7,0,0,0,0.12,1012,5.5,38,1.6
2011,1,2,19,30,4.3,0,0,0,0.12,1013,4.800000000000001,40,1.5
2011,1,2,20,30,3.7,0,0,0,0.12,1013,4.2,41,1.4000000000000001
2011,1,2,21,30,3.3000000000000003,0,0,0,0.12,1013,3.8000000000000003,46,1.3
2011,1,2,22,30,3.1,0,0,0,0.12,1013,3.7,55,1.3
2011,1,2,23,30,2.9000000000000004,0,0,0,0.12,1013,3.6,63,1.3
2011,1,3,0,30,2.7,0,0,0,0.12,1013,3.3000000000000003,65,1.4000000000000001
2011,1,3,1,30,2.4000000000000004,0,0,0,0.12,1013,2.9000000000000004,61,1.4000000000000001
2011,1,3,2,30,2.3000000000000003,0,0,0,0.12,1013,2.7,55,1.4000000000000001
2011,1,3,3,30,2.2,0,0,0,0.12,1013,2.6,50,1.4000000000000001
2011,1,3,4,30,2.2,0,0,0,0.12,1014,2.6,47,1.3
2011,1,3,5,30,2.2,0,0,0,0.12,1014,2.6,45,1.3
2011,1,3,6,30,2.1,0,0,0,0.12,1014,2.5,43,1.2000000000000002
2011,1,3,7,30,2.1,0,0,0,0.12,1015,3.4000000000000004,37,1.3
2011,1,3,8,30,3.3000000000000003,53,439,127,0.12,1015,5.2,32,1.6
2011,1,3,9,30,4.3,78,644,276,0.12,1016,7,36,1.8
2011,1,3,10,30,5.1000000000000005,80,786,403,0.12,1016,8.8,44,1.8
2011,1,3,11,30,5.5,86,823,473,0.12,1015,10.100000000000001,50,1.7000000000000002
2011,1,3,12,30,5.5,87,830,487,0.12,1015,10.8,53,1.6
2011,1,3,13,30,5.5,79,826,446,0.12,1015,11.100000000000001,54,1.6
2011,1,3,14,30,5.300000000000001,71,764,346,0.12,1015,10.9,53,1.6
2011,1,3,15,30,5.6000000000000005,56,638,206,0.12,1015,10.700000000000001,52,1.5
2011,1,3,16,30,5.6000000000000005,27,348,55,0.12,1016,7.1000000000000005,45,1.1
2011,1,3,17,30,4.4,0,0,0,0.12,1016,5.6000000000000005,35,1.3
2011,1,3,18,30,4.1000000000000005,0,0,0,0.12,1017,4.800000000000001,25,1.3
2011,1,3,19,30,3.8000000000000003,0,0,0,0.12,1017,4.1000000000000005,20,1.3
2011,1,3,20,30,3.5,0,0,0,0.12,1018,3.6,18,1.3
2011,1,3,21,30,3.1,0,0,0,0.12,1018,3.1,19,1.3
2011,1,3,22,30,2.6,0,0,0,0.12,1018,2.6,22,1.3
2011,1,3,23,30,2.3000000000000003,0,0,0,0.12,1018,2.3000000000000003,24,1.4000000000000001
2011,1,4,0,30,2,0,0,0,0.12,1019,2,28,1.4000000000000001
2011,1,4,1,30,1.8,0,0,0,0.12,1019,1.8,32,1.4000000000000001
2011,1,4,2,30,1.5,0,0,0,0.12,1019,1.8,36,1.4000000000000001
2011,1,4,3,30,1.2000000000000002,0,0,0,0.12,1019,1.7000000000000002,36,1.3
2011,1,4,4,30,0.8,0,0,0,0.12,1019,1.7000000000000002,31,1.3
2011,1,4,5,30,0.6000000000000001,0,0,0,0.12,1020,1.5,27,1.3
2011,1,4,6,30,0.2,0,0,0,0.12,1020,1.2000000000000002,26,1.4000000000000001
2011,1,4,7,30,0,0,0,0,0.12,1021,2.4000000000000004,24,1.6
2011,1,4,8,30,1.1,41,600,141,0.12,1021,4.7,20,2
2011,1,4,9,30,1.6,57,781,298,0.12,1022,6.9,21,2.3000000000000003
2011,1,4,10,30,2.5,64,863,420,0.12,1022,8.9,31,2.2
2011,1,4,11,30,3.1,69,897,493,0.12,1022,10.3,41,2
2011,1,4,12,30,3.5,71,901,507,0.12,1021,11,48,1.9000000000000001
2011,1,4,13,30,3.8000000000000003,68,882,461,0.12,1020,11.3,52,1.7000000000000002
2011,1,4,14,30,3.9000000000000004,61,828,361,0.12,1020,10.9,53,1.4000000000000001
2011,1,4,15,30,4.5,48,715,219,0.12,1020,10.600000000000001,53,1.2000000000000002
2011,1,4,16,30,4.6000000000000005,25,427,60,0.12,1021,6.5,34,1.1
2011,1,4,17,30,3.1,0,0,0,0.12,1021,4.9,24,1.3
2011,1,4,18,30,2.8000000000000003,0,0,0,0.12,1021,4.2,22,1.4000000000000001
2011,1,4,19,30,2.4000000000000004,0,0,0,0.12,1021,3.6,18,1.3
2011,1,4,20,30,2,0,0,0,0.12,1021,3,11,1.3
2011,1,4,21,30,1.8,0,0,0,0.12,1022,2.5,12,1.3
2011,1,4,22,30,1.5,0,0,0,0.12,1022,2.1,18,1.3
2011,1,4,23,30,1.3,0,0,0,0.12,1022,1.9000000000000001,24,1.3
2011,1,5,0,30,1.1,0,0,0,0.12,1022,1.6,27,1.4000000000000001
2011,1,5,1,30,1,0,0,0,0.12,1022,1.4000000000000001,28,1.4000000000000001
2011,1,5,2,30,0.9,0,0,0,0.12,1022,1.1,28,1.5
2011,1,5,3,30,0.8,0,0,0,0.12,1022,0.8,26,1.5
2011,1,5,4,30,0.5,0,0,0,0.12,1022,0.5,22,1.5
2011,1,5,5,30,0.2,0,0,0,0.12,1023,0.2,19,1.5
2011,1,5,6,30,0.30000000000000004,0,0,0,0.12,1023,0.30000000000000004,17,1.5
2011,1,5,7,30,0.2,0,0,0,0.12,1024,1.7000000000000002,15,1.8
2011,1,5,8,30,0.8,40,618,144,0.12,1024,4.2,17,2.2
2011,1,5,9,30,1.7000000000000002,56,792,300,0.12,1025,6.800000000000001,24,2.4000000000000004
2011,1,5,10,30,2.9000000000000004,61,881,425,0.12,1024,9.200000000000001,34,2.3000000000000003
2011,1,5,11,30,3.7,65,917,499,0.12,1024,10.700000000000001,40,2.1
2011,1,5,12,30,3.9000000000000004,65,925,514,0.12,1023,11.5,41,2
2011,1,5,13,30,4.1000000000000005,64,900,468,0.12,1022,11.700000000000001,37,2
2011,1,5,14,30,4.3,59,846,367,0.12,1022,11.3,30,1.7000000000000002
2011,1,5,15,30,5,48,737,225,0.12,1022,10.9,26,1.5
2011,1,5,16,30,4.800000000000001,25,454,64,0.12,1021,6.4,15,1.2000000000000002
2011,1,5,17,30,3.3000000000000003,0,0,0,0.12,1022,4.800000000000001,7,1.4000000000000001
2011,1,5,18,30,3,0,0,0,0.12,1022,4.1000000000000005,3,1.4000000000000001
2011,1,5,19,30,2.6,0,0,0,0.12,1022,3.5,2,1.4000000000000001
2011,1,5,20,30,2.2,0,0,0,0.12,1022,3.1,5,1.4000000000000001
2011,1,5,21,30,2,0,0,0,0.12,1022,2.6,10,1.3
2011,1,5,22,30,1.8,0,0,0,0.12,1022,2.1,17,1.3
2011,1,5,23,30,1.6,0,0,0,0.12,1022,1.6,21,1.3
