Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,271030,-,-,-,34.85,-114.62,-8,188,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2004,1,1,0,30,-5,0,0,0,0.2,988,6.5,135,1.3
2004,1,1,1,30,-4.5,0,0,0,0.2,988,5.9,130,1.3
2004,1,1,2,30,-3.6,0,0,0,0.2,988,5.4,128,1.4000000000000001
2004,1,1,3,30,-2.5,0,0,0,0.2,988,4.9,128,1.5
2004,1,1,4,30,-1.2000000000000002,0,0,0,0.2,989,4.5,128,1.6
2004,1,1,5,30,0.1,0,0,0,0.2,990,4.4,129,1.6
2004,1,1,6,30,1.4000000000000001,0,0,0,0.2,990,5.5,133,1.7000000000000002
2004,1,1,7,30,2.4000000000000004,44,83,54,0.2,991,7.9,138,2.5
2004,1,1,8,30,3.1,101,5,103,0.2,991,10.600000000000001,148,3.7
2004,1,1,9,30,4.1000000000000005,173,232,268,0.2,991,12.700000000000001,163,4.6000000000000005
2004,1,1,10,30,5.1000000000000005,207,314,363,0.2,991,14.100000000000001,173,5.2
2004,1,1,11,30,4.6000000000000005,238,241,366,0.2,990,14.8,179,5.5
2004,1,1,12,30,4.1000000000000005,235,187,331,0.2,989,15.3,182,5.5
2004,1,1,13,30,3.7,199,131,258,0.2,989,15.3,183,5.2
2004,1,1,14,30,3.8000000000000003,136,229,214,0.2,988,14.600000000000001,182,4
2004,1,1,15,30,4.3,70,34,77,0.2,988,14,181,3.2
2004,1,1,16,30,4.5,0,0,0,0.21,989,11.600000000000001,176,1.8
2004,1,1,17,30,4.7,0,0,0,0.21,989,11.100000000000001,171,1.8
