Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,139656,-,-,-,37.81,-122.26,-8,5,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2005,1,1,0,30,5.9,0,0,0,0.11,1017,8.200000000000001,260,2.7
2005,1,1,1,30,5.7,0,0,0,0.11,1018,8,258,2.5
2005,1,1,2,30,5.300000000000001,0,0,0,0.11,1018,7.7,253,2.2
2005,1,1,3,30,4.800000000000001,0,0,0,0.11,1018,7.5,245,2.1
2005,1,1,4,30,4.5,0,0,0,0.11,1018,7.4,238,2
2005,1,1,5,30,4.4,0,0,0,0.11,1018,7.300000000000001,234,2.1
2005,1,1,6,30,4.6000000000000005,0,0,0,0.11,1019,7.4,233,2.1
2005,1,1,7,30,4.800000000000001,0,0,0,0.11,1020,8.3,231,2.2
2005,1,1,8,30,6.2,53,479,135,0.11,1020,9.8,228,2.5
2005,1,1,9,30,6.7,75,678,287,0.11,1021,10.700000000000001,226,2.8000000000000003
2005,1,1,10,30,6.6000000000000005,107,0,107,0.11,1021,11.3,227,3
2005,1,1,11,30,6.300000000000001,156,1,156,0.11,1020,11.700000000000001,229,3.1
2005,1,1,12,30,6,209,68,242,0.11,1020,11.8,231,3.1
2005,1,1,13,30,5.9,124,0,124,0.11,1019,11.700000000000001,235,3
2005,1,1,14,30,6.1000000000000005,142,281,244,0.11,1019,11.4,238,2.7
2005,1,1,15,30,6.5,85,6,86,0.11,1019,11.100000000000001,238,2.5
2005,1,1,16,30,6.800000000000001,26,368,56,0.11,1019,9.4,240,1.9000000000000001
2005,1,1,17,30,6.5,0,0,0,0.11,1019,8.9,239,1.8
2005,1,1,18,30,6.5,0,0,0,0.11,1020,8.700000000000001,237,1.7000000000000002
2005,1,1,19,30,6.4,0,0,0,0.11,1020,8.700000000000001,231,1.7000000000000002
2005,1,1,20,30,6.4,0,0,0,0.11,1020,8.6,224,1.6
2005,1,1,21,30,6.300000000000001,0,0,0,0.11,1020,8.5,218,1.7000000000000002
2005,1,1,22,30,6.300000000000001,0,0,0,0.11,1020,8.5,212,1.8
2005,1,1,23,30,6.4,0,0,0,0.11,1020,8.4,204,1.9000000000000001
2005,1,2,0,30,6.6000000000000005,0,0,0,0.11,1020,8.4,199,2
2005,1,2,1,30,6.7,0,0,0,0.11,1019,8.5,198,2
2005,1,2,2,30,6.9,0,0,0,0.11,1019,8.6,200,2
2005,1,2,3,30,6.9,0,0,0,0.11,1018,8.5,203,2.1
2005,1,2,4,30,7,0,0,0,0.11,1017,8.700000000000001,206,2.1
2005,1,2,5,30,7.2,0,0,0,0.11,1017,8.700000000000001,210,2.1
2005,1,2,6,30,7.2,0,0,0,0.11,1017,8.700000000000001,217,2
2005,1,2,7,30,7.2,0,0,0,0.11,1017,8.8,223,1.8
2005,1,2,8,30,7.4,4,0,4,0.11,1017,9,227,1.7000000000000002
2005,1,2,9,30,7.5,16,0,16,0.11,1017,9.1,227,1.7000000000000002
2005,1,2,10,30,7.4,135,0,135,0.11,1017,9.1,222,1.6
2005,1,2,11,30,7.2,185,25,196,0.11,1016,9,224,1.4000000000000001
2005,1,2,12,30,7.1000000000000005,184,19,193,0.11,1015,9.1,251,1.2000000000000002
2005,1,2,13,30,7,67,0,67,0.11,1015,9.1,303,1.1
2005,1,2,14,30,6.9,106,0,106,0.11,1014,9,346,1.1
2005,1,2,15,30,6.800000000000001,44,0,44,0.11,1014,8.9,358,1.1
2005,1,2,16,30,6.5,12,0,12,0.12,1014,8.200000000000001,18,1.1
2005,1,2,17,30,6.2,0,0,0,0.12,1014,8.1,30,1.1
2005,1,2,18,30,6.1000000000000005,0,0,0,0.12,1014,8,37,1.1
2005,1,2,19,30,6.1000000000000005,0,0,0,0.12,1014,8,42,1.1
2005,1,2,20,30,6,0,0,0,0.12,1014,8,55,1
2005,1,2,21,30,6,0,0,0,0.12,1014,7.9,86,1
2005,1,2,22,30,5.9,0,0,0,0.12,1014,7.800000000000001,119,1
2005,1,2,23,30,5.7,0,0,0,0.12,1014,7.6000000000000005,138,1.1
2005,1,3,0,30,5.6000000000000005,0,0,0,0.12,1014,7.5,143,1.2000000000000002
2005,1,3,1,30,5.4,0,0,0,0.12,1014,7.6000000000000005,146,1.2000000000000002
2005,1,3,2,30,5.2,0,0,0,0.12,1014,7.7,155,1.2000000000000002
2005,1,3,3,30,4.9,0,0,0,0.12,1013,7.9,168,1
2005,1,3,4,30,4.7,0,0,0,0.12,1014,8.1,153,0.7000000000000001
2005,1,3,5,30,4.4,0,0,0,0.12,1014,8,105,0.7000000000000001
2005,1,3,6,30,4.1000000000000005,0,0,0,0.12,1015,7.6000000000000005,80,1
2005,1,3,7,30,4.1000000000000005,0,0,0,0.12,1015,7.800000000000001,84,1.4000000000000001
2005,1,3,8,30,5.6000000000000005,45,565,142,0.12,1016,8.700000000000001,85,1.8
2005,1,3,9,30,6,112,331,216,0.12,1016,9.3,80,1.9000000000000001
2005,1,3,10,30,5.800000000000001,173,252,279,0.12,1016,9.9,74,1.9000000000000001
2005,1,3,11,30,5.6000000000000005,133,0,133,0.12,1015,10.5,69,1.9000000000000001
2005,1,3,12,30,5.4,113,0,113,0.12,1014,11.100000000000001,63,1.8
2005,1,3,13,30,5.1000000000000005,166,14,172,0.12,1013,11.3,52,1.8
2005,1,3,14,30,5.1000000000000005,64,0,64,0.12,1013,11.100000000000001,38,1.9000000000000001
2005,1,3,15,30,5.7,19,0,19,0.12,1013,10.8,32,1.9000000000000001
2005,1,3,16,30,6.4,22,0,22,0.12,1013,8.9,27,1.8
2005,1,3,17,30,6.2,0,0,0,0.12,1013,8.200000000000001,26,2
2005,1,3,18,30,6.4,0,0,0,0.12,1014,7.9,28,2.1
2005,1,3,19,30,6.4,0,0,0,0.12,1014,7.5,32,2
2005,1,3,20,30,6.2,0,0,0,0.12,1014,7,36,1.8
2005,1,3,21,30,5.800000000000001,0,0,0,0.12,1013,6.800000000000001,39,1.6
2005,1,3,22,30,5.5,0,0,0,0.12,1013,6.800000000000001,41,1.3
2005,1,3,23,30,5.2,0,0,0,0.12,1013,6.800000000000001,32,1
2005,1,4,0,30,5,0,0,0,0.12,1012,6.9,183,0.9
2005,1,4,1,30,4.9,0,0,0,0.12,1013,6.800000000000001,340,1
2005,1,4,2,30,4.7,0,0,0,0.12,1013,6.800000000000001,334,1.2000000000000002
