Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,188625,-,-,-,34.21,-119.18,-8,20,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,8.9,0,0,0,0.16,1024,11.9,334,3
1999,1,1,1,30,8.4,0,0,0,0.16,1024,11.700000000000001,344,3.1
1999,1,1,2,30,7.800000000000001,0,0,0,0.16,1025,11.600000000000001,178,3.3000000000000003
1999,1,1,3,30,7.1000000000000005,0,0,0,0.16,1025,11.4,12,3.4000000000000004
1999,1,1,4,30,6.4,0,0,0,0.16,1026,11.3,23,3.5
1999,1,1,5,30,5.4,0,0,0,0.16,1027,11.3,32,3.6
1999,1,1,6,30,4.2,0,0,0,0.16,1027,11.5,40,3.7
1999,1,1,7,30,3,23,422,54,0.16,1028,12.700000000000001,45,3.6
1999,1,1,8,30,2.1,46,744,228,0.16,1028,14.700000000000001,52,3.3000000000000003
1999,1,1,9,30,1.6,57,870,392,0.16,1028,16.900000000000002,64,2.6
1999,1,1,10,30,2.6,66,922,513,0.16,1028,18.8,80,1.7000000000000002
1999,1,1,11,30,2.4000000000000004,69,942,574,0.16,1027,20.3,97,1
1999,1,1,12,30,0.4,69,942,574,0.16,1027,21.400000000000002,171,0.7000000000000001
1999,1,1,13,30,-0.4,67,914,511,0.16,1026,21.700000000000003,250,0.8
1999,1,1,14,30,0.6000000000000001,61,853,390,0.16,1026,20.900000000000002,270,1.2000000000000002
1999,1,1,15,30,4.1000000000000005,49,726,227,0.16,1026,20.1,275,1.4000000000000001
1999,1,1,16,30,5.800000000000001,24,405,55,0.16,1027,16.900000000000002,294,2.2
1999,1,1,17,30,5.1000000000000005,0,0,0,0.16,1027,15.9,307,2.5
1999,1,1,18,30,5.2,0,0,0,0.16,1027,15.5,320,2.3000000000000003
1999,1,1,19,30,5.1000000000000005,0,0,0,0.16,1027,15.100000000000001,331,2.1
1999,1,1,20,30,4.7,0,0,0,0.16,1028,14.9,340,1.9000000000000001
1999,1,1,21,30,4,0,0,0,0.16,1028,14.600000000000001,351,1.9000000000000001
1999,1,1,22,30,3.2,0,0,0,0.16,1028,14.200000000000001,181,1.9000000000000001
1999,1,1,23,30,2.6,0,0,0,0.16,1028,13.9,10,2
1999,1,2,0,30,2.2,0,0,0,0.16,1027,13.700000000000001,17,2
1999,1,2,1,30,2,0,0,0,0.16,1027,13.5,23,2.1
1999,1,2,2,30,2,0,0,0,0.16,1027,13.4,26,2.2
1999,1,2,3,30,1.9000000000000001,0,0,0,0.16,1026,13.100000000000001,29,2.4000000000000004
1999,1,2,4,30,1.7000000000000002,0,0,0,0.16,1026,12.8,32,2.9000000000000004
1999,1,2,5,30,1.1,0,0,0,0.16,1026,12.5,35,3.6
1999,1,2,6,30,0.6000000000000001,0,0,0,0.16,1027,12.5,37,4
1999,1,2,7,30,0.5,23,437,55,0.16,1027,13.9,39,4
1999,1,2,8,30,0.6000000000000001,47,764,233,0.16,1027,16.1,41,3.4000000000000004
1999,1,2,9,30,1.2000000000000002,59,887,400,0.16,1027,18.1,53,2.5
1999,1,2,10,30,2.1,66,944,523,0.16,1027,19.900000000000002,75,1.8
1999,1,2,11,30,1.2000000000000002,69,968,589,0.16,1026,21.400000000000002,108,1.4000000000000001
1999,1,2,12,30,-0.4,70,966,589,0.16,1025,22.3,156,1.2000000000000002
1999,1,2,13,30,-1.3,68,940,525,0.16,1025,22.5,217,1
1999,1,2,14,30,-1,62,871,400,0.16,1024,21.5,266,1.2000000000000002
1999,1,2,15,30,3.1,50,743,234,0.16,1024,20.700000000000003,282,1.3
1999,1,2,16,30,4.6000000000000005,24,426,58,0.16,1024,17.3,313,1.7000000000000002
1999,1,2,17,30,4,0,0,0,0.16,1024,16,328,1.8
1999,1,2,18,30,3.9000000000000004,0,0,0,0.16,1025,15.3,338,1.7000000000000002
1999,1,2,19,30,3.5,0,0,0,0.16,1025,14.700000000000001,349,1.6
1999,1,2,20,30,3,0,0,0,0.16,1025,14.3,183,1.5
1999,1,2,21,30,2.7,0,0,0,0.16,1025,14,21,1.6
1999,1,2,22,30,2.7,0,0,0,0.16,1026,13.8,39,1.9000000000000001
1999,1,2,23,30,2.5,0,0,0,0.16,1026,13.700000000000001,52,2.2
1999,1,3,0,30,2.4000000000000004,0,0,0,0.16,1026,13.9,55,2.8000000000000003
1999,1,3,1,30,2.1,0,0,0,0.16,1026,14.3,51,3.5
1999,1,3,2,30,1.9000000000000001,0,0,0,0.16,1026,14.5,48,4
1999,1,3,3,30,1.9000000000000001,0,0,0,0.16,1026,14.3,47,4.6000000000000005
1999,1,3,4,30,2.1,0,0,0,0.16,1027,14.100000000000001,46,4.9
1999,1,3,5,30,2.1,0,0,0,0.16,1027,13.9,47,5.1000000000000005
1999,1,3,6,30,2,0,0,0,0.16,1028,13.8,51,5.2
1999,1,3,7,30,1.8,24,401,53,0.16,1029,14.600000000000001,54,5
1999,1,3,8,30,1.9000000000000001,49,742,231,0.16,1029,16.400000000000002,59,4.4
1999,1,3,9,30,2.5,62,870,397,0.16,1030,18.3,66,3.7
1999,1,3,10,30,2.8000000000000003,71,924,520,0.16,1030,19.8,76,3.2
1999,1,3,11,30,2.5,75,947,585,0.16,1030,20.700000000000003,86,2.6
1999,1,3,12,30,1.9000000000000001,77,953,590,0.16,1030,21.400000000000002,97,2.1
1999,1,3,13,30,0.7000000000000001,70,937,528,0.16,1029,21.8,113,1.6
