Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,206978,-,-,-,34.57,-118.1,-8,847,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,-3.8000000000000003,0,0,0,0.2,942,5.7,40,3.3000000000000003
1999,1,1,1,30,-4.5,0,0,0,0.2,943,5.4,38,3.1
1999,1,1,2,30,-4.7,0,0,0,0.2,943,5.1000000000000005,36,3.3000000000000003
1999,1,1,3,30,-5,0,0,0,0.2,944,4.7,37,3.7
1999,1,1,4,30,-5.5,0,0,0,0.2,945,4.4,40,4.1000000000000005
1999,1,1,5,30,-6,0,0,0,0.2,946,4.2,43,4.4
1999,1,1,6,30,-6.4,0,0,0,0.2,946,4.6000000000000005,45,4.7
1999,1,1,7,30,-6.5,30,92,37,0.2,947,6.6000000000000005,45,5.1000000000000005
1999,1,1,8,30,-6.2,42,801,243,0.2,947,9.8,46,5.5
1999,1,1,9,30,-6.2,52,912,406,0.2,947,12.9,49,5.800000000000001
1999,1,1,10,30,-6.5,58,963,524,0.2,947,15.4,50,5.5
1999,1,1,11,30,-6.800000000000001,59,986,584,0.2,946,17.2,50,5
1999,1,1,12,30,-7.4,59,984,579,0.2,946,18.400000000000002,51,4.3
1999,1,1,13,30,-8.1,57,958,512,0.2,945,18.8,51,3.7
1999,1,1,14,30,-8.5,52,899,386,0.2,945,17.900000000000002,49,2.8000000000000003
1999,1,1,15,30,-5.2,40,774,219,0.2,945,17,48,2.2
1999,1,1,16,30,-3.4000000000000004,19,431,45,0.19,946,10.4,40,1.4000000000000001
1999,1,1,17,30,-5.1000000000000005,0,0,0,0.19,946,8.4,40,1.5
1999,1,1,18,30,-6.1000000000000005,0,0,0,0.19,946,7.5,40,1.6
1999,1,1,19,30,-7.2,0,0,0,0.19,946,6.9,39,1.8
1999,1,1,20,30,-8.200000000000001,0,0,0,0.19,946,6.5,38,1.9000000000000001
1999,1,1,21,30,-9.1,0,0,0,0.19,947,6.2,37,2
1999,1,1,22,30,-9.700000000000001,0,0,0,0.19,947,5.9,36,2.1
1999,1,1,23,30,-10.200000000000001,0,0,0,0.19,947,5.5,36,2.1
1999,1,2,0,30,-10.8,0,0,0,0.19,946,5.2,38,2.2
1999,1,2,1,30,-11.100000000000001,0,0,0,0.19,946,4.9,42,2.3000000000000003
1999,1,2,2,30,-11.200000000000001,0,0,0,0.19,946,4.7,44,2.5
1999,1,2,3,30,-11.3,0,0,0,0.19,946,4.800000000000001,46,2.8000000000000003
1999,1,2,4,30,-11.5,0,0,0,0.19,946,5,48,3.2
1999,1,2,5,30,-11.5,0,0,0,0.19,946,5.2,48,3.7
1999,1,2,6,30,-11.5,0,0,0,0.19,946,5.7,49,4.2
1999,1,2,7,30,-11.4,29,75,36,0.19,946,7.7,49,4.9
1999,1,2,8,30,-11.3,41,820,248,0.19,947,10.9,49,5.300000000000001
