Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,163548,-,-,-,35.61,-120.7,-8,334,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2006,1,1,0,30,7.6000000000000005,0,0,0,0.15,983,7.6000000000000005,146,1.5
2006,1,1,1,30,7.5,0,0,0,0.15,983,7.5,153,1.8
2006,1,1,2,30,7.6000000000000005,0,0,0,0.15,982,7.6000000000000005,157,2
2006,1,1,3,30,7.6000000000000005,0,0,0,0.15,982,7.6000000000000005,155,2
2006,1,1,4,30,7.4,0,0,0,0.15,981,7.800000000000001,152,2.2
2006,1,1,5,30,7.2,0,0,0,0.15,981,8.1,150,2.4000000000000004
2006,1,1,6,30,7.2,0,0,0,0.15,981,8.6,150,2.7
2006,1,1,7,30,7.6000000000000005,6,0,6,0.15,981,9.600000000000001,152,3.4000000000000004
2006,1,1,8,30,8.4,26,0,26,0.15,980,10.8,149,4.3
2006,1,1,9,30,9,15,0,15,0.15,979,11.600000000000001,147,5.1000000000000005
2006,1,1,10,30,9.200000000000001,46,0,46,0.15,977,12.100000000000001,156,5.9
2006,1,1,11,30,9.200000000000001,44,0,44,0.15,976,12.3,161,6.800000000000001
2006,1,1,12,30,9.200000000000001,73,0,73,0.15,974,12.200000000000001,159,7.800000000000001
2006,1,1,13,30,9.600000000000001,47,0,47,0.15,973,12,162,8.5
2006,1,1,14,30,10.100000000000001,120,0,120,0.15,973,11.8,165,8.4
2006,1,1,15,30,10.4,10,0,10,0.15,973,11.600000000000001,166,8.3
2006,1,1,16,30,10.600000000000001,8,0,8,0.15,973,11.8,169,8.8
2006,1,1,17,30,11,0,0,0,0.15,973,12.200000000000001,174,8.6
2006,1,1,18,30,11.700000000000001,0,0,0,0.15,973,12.8,182,8.3
2006,1,1,19,30,12.600000000000001,0,0,0,0.15,973,13.3,193,7.6000000000000005
2006,1,1,20,30,12.9,0,0,0,0.15,973,13.3,213,6.5
2006,1,1,21,30,12.4,0,0,0,0.15,974,12.600000000000001,235,4.800000000000001
2006,1,1,22,30,11.5,0,0,0,0.15,974,11.8,247,3.3000000000000003
2006,1,1,23,30,10.700000000000001,0,0,0,0.15,974,11.100000000000001,256,2.6
2006,1,2,0,30,10.200000000000001,0,0,0,0.15,974,10.600000000000001,260,2.2
2006,1,2,1,30,9.600000000000001,0,0,0,0.15,973,10.100000000000001,246,1.6
2006,1,2,2,30,9.3,0,0,0,0.15,973,9.8,223,1.3
2006,1,2,3,30,9.200000000000001,0,0,0,0.15,972,9.700000000000001,201,1.5
2006,1,2,4,30,9.3,0,0,0,0.15,972,9.700000000000001,184,2
2006,1,2,5,30,9.4,0,0,0,0.15,971,9.8,176,2.8000000000000003
2006,1,2,6,30,9.8,0,0,0,0.15,971,10.3,173,4
2006,1,2,7,30,10.200000000000001,8,0,8,0.15,971,11,173,5.4
2006,1,2,8,30,10.8,19,0,19,0.15,971,11.600000000000001,176,7.1000000000000005
2006,1,2,9,30,11,142,43,157,0.15,971,12,184,8.3
2006,1,2,10,30,11.4,10,0,10,0.15,971,12.3,191,8.6
2006,1,2,11,30,11.700000000000001,11,0,11,0.15,970,12.5,199,8.3
2006,1,2,12,30,11.600000000000001,187,13,194,0.15,970,12.100000000000001,216,8.1
2006,1,2,13,30,10.3,134,0,134,0.15,971,11.4,235,7.800000000000001
2006,1,2,14,30,9.5,12,0,12,0.15,973,10.9,248,7.7
2006,1,2,15,30,9,4,0,4,0.15,974,10.700000000000001,252,7.6000000000000005
2006,1,2,16,30,8.5,18,0,18,0.15,977,10.100000000000001,260,7
2006,1,2,17,30,8.200000000000001,0,0,0,0.15,979,9.700000000000001,264,6.1000000000000005
2006,1,2,18,30,8.1,0,0,0,0.15,981,9.4,265,5
2006,1,2,19,30,8,0,0,0,0.15,983,9,265,3.8000000000000003
2006,1,2,20,30,7.800000000000001,0,0,0,0.15,984,8.5,264,2.9000000000000004
2006,1,2,21,30,7.7,0,0,0,0.15,986,8,265,2.3000000000000003
2006,1,2,22,30,7.4,0,0,0,0.15,987,7.6000000000000005,266,1.8
2006,1,2,23,30,7.1000000000000005,0,0,0,0.15,987,7.300000000000001,264,1.5
2006,1,3,0,30,6.9,0,0,0,0.15,988,7.300000000000001,255,1.3
2006,1,3,1,30,6.800000000000001,0,0,0,0.15,988,7.4,236,1.1
2006,1,3,2,30,6.9,0,0,0,0.15,988,7.5,224,1
2006,1,3,3,30,7,0,0,0,0.15,988,7.5,222,1
2006,1,3,4,30,7.1000000000000005,0,0,0,0.15,989,7.800000000000001,224,1
2006,1,3,5,30,7.2,0,0,0,0.15,989,7.9,229,1.1
2006,1,3,6,30,7.1000000000000005,0,0,0,0.15,990,7.9,225,1
2006,1,3,7,30,7,15,0,15,0.15,991,8.3,228,1
2006,1,3,8,30,7.4,75,262,131,0.15,993,9.1,241,1
2006,1,3,9,30,7.800000000000001,124,3,125,0.15,994,10.100000000000001,240,0.8
2006,1,3,10,30,8,113,643,407,0.15,993,10.8,181,1
2006,1,3,11,30,7.9,233,191,332,0.15,992,11.3,125,1.6
