Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,191195,-,-,-,36.05,-119.02,-8,148,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2019,1,1,0,30,-9.700000000000001,0,0,0,0.16,995,1.8,87,1.1
2019,1,1,1,30,-9.700000000000001,0,0,0,0.16,995,1.6,83,1.1
2019,1,1,2,30,-9.8,0,0,0,0.16,996,1.5,78,1.1
2019,1,1,3,30,-10.100000000000001,0,0,0,0.16,996,1.5,72,1
2019,1,1,4,30,-10.200000000000001,0,0,0,0.16,997,1.5,72,1
2019,1,1,5,30,-10.200000000000001,0,0,0,0.16,997,1.4000000000000001,77,0.9
2019,1,1,6,30,-10.3,0,0,0,0.16,998,2,81,0.8
2019,1,1,7,30,-9.600000000000001,23,387,46,0.16,1000,4.2,89,0.9
2019,1,1,8,30,-8.200000000000001,46,745,214,0.16,1000,7.5,108,0.9
2019,1,1,9,30,-11.100000000000001,64,856,374,0.16,1001,10.100000000000001,178,1
2019,1,1,10,30,-11.9,81,883,486,0.16,1000,11.600000000000001,243,1.3
2019,1,1,11,30,-11.9,85,909,548,0.16,999,12.5,246,1.6
2019,1,1,12,30,-11.700000000000001,91,893,545,0.16,999,12.9,246,1.6
2019,1,1,13,30,-11.600000000000001,94,835,477,0.16,998,12.700000000000001,259,1.7000000000000002
2019,1,1,14,30,-11.200000000000001,83,750,354,0.16,999,11.600000000000001,273,1.7000000000000002
2019,1,1,15,30,-9.3,64,588,196,0.16,999,10.8,278,1.6
2019,1,1,16,30,-6,26,189,37,0.16,1000,5.800000000000001,310,0.9
2019,1,1,17,30,-7.2,0,0,0,0.16,1000,5,187,0.8
2019,1,1,18,30,-6.5,0,0,0,0.16,1001,4.9,57,0.8
2019,1,1,19,30,-6.2,0,0,0,0.16,1001,5.2,80,0.8
